Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
AFIRAK,0,-21.8,3.9,14.4,-61.4,25.7,36.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFISIS,0,-21.4,-3.3,17.1,-61.4,18.1,38.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFIYOF,0,-30.5,-10,14.4,-61.4,20.5,44.9,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFLATC,0,-11.9,1.9,20.3,-61.4,13.7,32.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFOCUV,0,-16.5,-16.1,23.7,-61.4,0.4,40.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFOFEG,0,-20.2,-1.5,17.8,-61.4,18.7,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFOKOY,0,-21.3,9.6,-37.5,-61.4,30.9,-16.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AFOLUD,0,-14.2,3.6,14.3,-61.4,17.8,28.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFONOA01,0,-15.5,-3.8,15.8,-61.4,11.6,31.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUFIS,0,-25.3,-8.9,-4.8,-61.4,16.5,20.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AFUHUG,0,-19.3,-12.4,18.5,-61.4,6.9,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUJAO,0,-17.8,-0.9,21.7,-61.4,16.9,39.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFUJUJ,0,-19.6,-3.4,17.2,-61.4,16.2,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUMUM,0,-22.2,-7,18.8,-61.4,15.1,40.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUQAU,0,-16.3,4.3,27.3,-61.4,20.5,43.5,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFUROL,0,-24.2,-8.9,20.9,-61.4,15.3,45.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUTDZ10,0,-26,13.3,26.5,-61.4,39.3,52.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AFUVEC,0,-19.9,-4.9,18.3,-61.4,15,38.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUVEE,0,-20.3,-3.9,15.5,-61.4,16.4,35.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUVOM,0,-26.4,-11.6,18.3,-61.4,14.8,44.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUVUS,0,-22.6,-8.4,22.2,-61.4,14.2,44.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUWED,0,-20.4,-1.8,14.7,-61.4,18.6,35.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFUXOR,0,-19.3,-3,17.5,-61.4,16.3,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGADIX,0,-20.7,4.8,15.3,-61.4,25.5,36.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGAKIE,0,-12.7,-0.9,16.2,-61.4,11.8,28.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGALIF,0,-8.3,-10.3,10.6,-61.4,-2,19,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGAMUS,0,-20.8,9.7,13.5,-61.4,30.5,34.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGEFUQ,0,-20.5,7.7,18.4,-61.4,28.2,38.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGEMIK,0,-20.8,-15.8,14.4,-61.4,5,35.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGENAC,0,-19.8,3.5,18.9,-61.4,23.3,38.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AGENOS,0,-11.8,-2.2,13.9,-61.4,9.6,25.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGEPEK,0,-11.9,9.8,13.8,-61.4,21.7,25.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGEQAE,0,-21.2,0.7,24.9,-61.4,21.9,46.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AGESEK,0,-13.3,8.9,25.6,-61.4,22.1,38.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGESOX,0,-21.9,-10.3,10.5,-61.4,11.6,32.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGEVOZ,0,-19.2,0.4,20,-61.4,19.5,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGEXER,0,-24,-0.8,20.7,-61.4,23.2,44.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AGEXOB,0,-143.6,-116.5,-98.7,-61.4,27.1,44.9,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
AGEYER,0,-18.2,-3.5,24,-61.4,14.8,42.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGIBAV,0,-15.9,-5.5,18,-61.4,10.4,33.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIDOM,0,-21.9,5.7,17.9,-61.4,27.5,39.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIGIJ,0,-19.9,2.1,17.6,-61.4,22,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIGUU,0,-15.6,13.8,576.7,-61.4,29.4,592.3,Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
AGIGUV,0,-19.3,0.3,17.6,-61.4,19.6,37,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIHEF,0,-23.7,-2.2,17.6,-61.4,21.5,41.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIRAM,0,-20.4,-13.7,21,-61.4,6.7,41.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGIREQ,0,-6,-5.3,23.5,-61.4,0.8,29.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGISAN,0,4.3,-7.5,9.9,-61.4,-7.5,9.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGLUAM10,0,-22.3,3.7,19.7,-61.4,26,42,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGOCOR,0,-1673.7,-1652.3,-1631.1,-61.4,21.4,42.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AGODOR,0,-8.3,-4.8,14.7,-61.4,3.4,23,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGOKOX,0,-17.8,2.3,29.9,-61.4,20.1,47.6,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
AGOLAK,0,-18.2,0.9,23.5,-61.4,19.1,41.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGOLIS,0,-17.8,3.9,30,-61.4,21.7,47.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGOLOY,0,-17.9,2.7,21.7,-61.4,20.6,39.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AGOLUE,0,-9235.4,-9204.9,-9186.7,-61.4,30.5,48.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AGOMAL,0,-17.6,-1.4,24.7,-61.4,16.2,42.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AGOMEP,0,-28.1,-10.7,13.4,-61.4,17.4,41.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AGOQEU01,0,-17.8,2.2,27.3,-61.4,20,45.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGOSUM,0,-21.3,-1.8,13.9,-61.4,19.5,35.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGOTIZ,0,-19.1,1.6,4,-61.4,20.6,23.1,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
AGOTOF,0,-17.6,6.3,5,-61.4,24,22.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AGUCEM,0,-20.1,3.1,22.4,-61.4,23.2,42.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
AGUCUC,0,-20.7,0.2,21.3,-61.4,20.9,42,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGUJAO,0,-20.2,7.7,15.1,-61.4,27.8,35.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGULOF,0,-19.9,-1.4,18.7,-61.4,18.5,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AGURAV,0,-14.5,2.6,30.1,-61.4,17.2,44.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AGUTON,0,-33,-9.5,-1377.4,-61.4,23.5,-1344.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AHALUQ,0,-12.2,8.9,21.4,-61.4,21.2,33.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AHEKAZ,0,-173.8,-141.4,-143.4,-61.4,32.5,30.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AHESOW,0,-17.9,4.8,21.6,-61.4,22.7,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHEWUF,0,-31.8,-9.3,10,-61.4,22.5,41.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHGLCM,0,-13.4,-1,24.4,-61.4,12.4,37.8,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AHICIF,0,-22.8,11.4,21.1,-61.4,34.2,43.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHIDIT,0,-14.9,8.8,10.3,-61.4,23.7,25.2,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
AHIJEH,0,-13,-2.3,13.5,-61.4,10.7,26.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHILIM,0,-20.2,-4.9,18.7,-61.4,15.3,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHILOS,0,-20.3,12.9,19.5,-61.4,33.2,39.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHIMUA,0,-21.1,-2.7,13.3,-61.4,18.3,34.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHINUC,0,-25.9,-3.6,15.8,-61.4,22.3,41.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHIROA,0,-20.3,-4.8,18.6,-61.4,15.5,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHMVAL,0,-26.3,5.4,18,-61.4,31.7,44.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHOQEW,0,-23.6,-8.2,10.5,-61.4,15.4,34.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHOVOJ,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHOVUO,0,-13.9,8.1,28.5,-61.4,21.9,42.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AHOWAV,0,-13.6,10.1,27.4,-61.4,23.7,41,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AHOXEC,0,-18.5,2.6,20.3,-61.4,21.1,38.7,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AHPAZP10,0,-25.7,-0.5,8.9,-61.4,25.1,34.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHTPAL02,0,-20.5,-5.7,18.2,-61.4,14.7,38.7,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
AHUHER,0,-23.3,7.7,18.8,-61.4,31,42.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHUKAQ,0,-25.2,-3.6,18.9,-61.4,21.7,44.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AHUMEW,0,-11.1,-0.5,16.5,-61.4,10.6,27.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHUMIA,0,-13.2,-6.2,16.7,-61.4,6.9,29.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHUXIL,0,-17.9,-1.1,15.8,-61.4,16.8,33.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AHUYEI,0,-19.4,-4.8,18,-61.4,14.5,37.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AHXGLP,0,-12.9,7.5,24.8,-61.4,20.4,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AIPMLM,0,-16,4.2,22.4,-61.4,20.2,38.4,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AIPTHL10,0,-20.5,32.4,29.3,-61.4,52.9,49.8,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
AISMRS,0,-13.9,6.7,29.1,-61.4,20.6,43,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AJACOF,0,-24.2,-8.8,9,-61.4,15.4,33.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJAGEX,0,-20.8,0.6,16.6,-61.4,21.4,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJAGOJ,0,-18.3,0.8,1.8,-61.4,19.1,20.1,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
AJAJEA,0,-23.8,3.5,18.9,-61.4,27.3,42.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJAKAX,0,-20.6,-4.5,18.4,-61.4,16,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJAPUW,0,-15.1,11,24.5,-61.4,26.1,39.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJASEK,0,-18.3,17.9,41.7,-61.4,36.1,59.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJAWIT,0,-15.2,17.7,6.1,-61.4,32.8,21.3,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
AJEHON,0,-26.7,-3.6,11.4,-61.4,23,38.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJEJII,0,-22,0.8,18.7,-61.4,22.7,40.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJERIS,0,-7974.7,-7958.4,-7941.8,-61.4,16.3,32.9,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
AJEVAN,0,-21.4,5,19.2,-61.4,26.4,40.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJEXEU,0,-918.6,-895.8,-871.7,-61.4,22.8,46.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJIXOG,0,-516.1,-491.9,-474.5,-61.4,24.2,41.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJIYEX,0,-19,1.9,22.9,-61.4,20.9,41.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJIZAU,0,-19.1,1.2,22.7,-61.4,20.2,41.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJOFAG,0,-22.6,-5,16.6,-61.4,17.6,39.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJOGEN,0,-17.9,15.5,19.9,-61.4,33.4,37.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJOHEO,0,-18.4,16.1,19.7,-61.4,34.5,38.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJOHUF,0,-17.9,7.7,22.1,-61.4,25.6,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJONEV,0,-20.5,-16.9,18.2,-61.4,3.7,38.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJONUL,0,0.2,2.5,25.6,-61.4,2.5,25.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJOPOE01,0,-20.3,1.7,17.7,-61.4,22,38,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AJUCOY,0,-7.7,-3.7,18.1,-61.4,4,25.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AJUQOM,0,-12.5,-2.5,13.2,-61.4,10,25.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKAKOM,0,-12,-1.6,14,-61.4,10.4,26,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKALIH,0,-20.4,-3.3,19,-61.4,17.1,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKAPIL,0,-24,-9.4,8.9,-61.4,14.6,32.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKATAI,0,-20.6,-5.5,61,-61.4,15.1,81.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKAUAC,0,-20.2,-5.6,17,-61.4,14.6,37.2,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKAVUE,0,-49428.9,-49406.9,-49384.9,-61.4,21.9,44,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AKAWAK,0,-19.5,3.1,17,-61.4,22.6,36.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKAWEO,0,-13.8,11.9,17.6,-61.4,25.7,31.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKAWIS,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AKAXAO,0,-42,-31.1,6.1,-61.4,10.9,48.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKAXES,0,-18.8,0,20.3,-61.4,18.8,39.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKEDUR,0,-19.5,-3.9,16.3,-61.4,15.7,35.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKEFII,0,-18.7,-0.7,20.7,-61.4,18,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKEGAA,0,-20,2.3,19.2,-61.4,22.3,39.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKEQEN,0,-19,5.6,16.1,-61.4,24.6,35.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKEQIR,0,-19.5,4.9,15.8,-61.4,24.4,35.4,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
AKEQOX,0,-19.9,7.9,19.7,-61.4,27.8,39.6,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
AKEQOY,0,-19.5,3.3,-49,-61.4,22.8,-29.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
AKIHAF,0,-17.7,-0.8,24.6,-61.4,16.9,42.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKITAS,0,-20.4,-5.7,18.2,-61.4,14.7,38.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKIVUO,0,-18.4,0.7,18.3,-61.4,19.1,36.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKIWEW,0,-15.6,2.7,3.6,-61.4,18.3,19.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AKOCOU,0,-21.5,-7.6,11.6,-61.4,13.9,33.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKOFUB,0,-23.7,10.4,20.8,-61.4,34.1,44.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKOLAQ,0,-20.2,-5,18.8,-61.4,15.2,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKOTOL,0,-17.5,3.2,18.6,-61.4,20.7,36.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKUFET,0,-6112.3,-6094.5,-6082.3,-61.4,17.7,30,Not Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
AKUNEB,0,-15.3,13.1,18.4,-61.4,28.3,33.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
AKUSOP,0,-19.3,7.4,24,-61.4,26.7,43.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKUWUZ,0,-15.8,10.5,6.8,-61.4,26.4,22.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
AKUYAG,0,-23.9,-5.7,13.9,-61.4,18.3,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKUYIO,0,-22.8,-5.7,14,-61.4,17.1,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AKUZAH,0,-23.3,-1.8,18.9,-61.4,21.5,42.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALAALA,0,-26.1,4,17.2,-61.4,30.1,43.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
ALABUK,0,-20,3.5,17.7,-61.4,23.5,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALACEV01,0,-19.9,3.8,17.5,-61.4,23.7,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALAGEZ,0,-29.4,19.3,21.2,-61.4,48.7,50.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALALHC,0,-17.2,15,23,-61.4,32.2,40.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALALIJ,0,-8.8,-10,12.9,-61.4,-1.2,21.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALAMET11,0,-16.9,4.1,21.8,-61.4,21,38.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALANEH,0,-27.8,-5.1,20.5,-61.4,22.7,48.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALAROU,0,-16.8,1.5,30,-61.4,18.4,46.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALAVOA,0,-16.7,11.4,28.7,-61.4,28.2,45.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALAYUH,0,-24.6,-8.6,9.5,-61.4,16,34.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALDAHA10,0,-71.7,-50.5,-41.2,-61.4,21.2,30.5,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ALDCAR,0,-17.4,15,24.5,-61.4,32.4,41.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALECIE,0,-9,13.8,12.7,-61.4,22.7,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ALEDEB,0,-10.3,9.3,8.2,-61.4,19.6,18.5,Minimum,Not Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
ALEGAC,0,-11,-7.6,14.7,-61.4,3.5,25.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALESAM,0,-26.6,-34.5,6.1,-61.4,-7.9,32.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALETOC,0,-20.3,-2.6,17.8,-61.4,17.7,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALGLYL,0,-25,12.9,39.7,-61.4,37.9,64.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ALIPUJ,0,-12.6,10.6,20.1,-61.4,23.1,32.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ALOBOV,0,-28.6,6,15.2,-61.4,34.6,43.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALODAH,0,-17.2,4.2,13.8,-61.4,21.3,31,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALOLIW,0,-19.7,8.1,18.2,-61.4,27.9,37.9,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ALOMAR,0,-14.3,8.9,24.3,-61.4,23.2,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ALOTOM,0,-27.8,-1.5,11.7,-61.4,26.4,39.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALOWEF,0,-13.9,4.9,21.7,-61.4,18.9,35.6,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
ALOXAN,0,-26.2,-20.7,7.8,-61.4,5.5,34,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALOZEI,0,-19.8,15.4,22,-61.4,35.2,41.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALUCIV,0,-31.3,-7.2,8.6,-61.4,24.2,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALUJIC,0,-19.7,1.1,20.9,-61.4,20.8,40.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALULEA,0,-18.3,-0.3,19.1,-61.4,18,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ALUNIE,0,-27.1,-37.7,-17.7,-61.4,-10.6,9.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALUNOL,0,-178.4,-150.7,-190.9,-61.4,27.6,-12.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
ALUXUC,0,-14.5,7.5,25.2,-61.4,21.9,39.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ALUZUE,0,92,-0.8,19.3,-61.4,-0.8,19.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ALXANM01,0,-20.9,0.2,17.7,-61.4,21.1,38.6,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
ALZFLR,0,-20.8,4.2,15.6,-61.4,25.1,36.5,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
