Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
APIXEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APOBUD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APOLUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APOTIJ,Minimum,Minimum,Correct TS,Correct TS
APOTOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APOVAD,Minimum,Minimum,Correct TS,Correct TS
APOYIO,Minimum,Minimum,Incorrect TS,Correct TS
APTERN,Not Minimum,Minimum,Correct TS,Correct TS
APUMEF,Minimum,Minimum,Correct TS,Correct TS
APUMOP,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
APUMUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APUTIP01,Minimum,Minimum,Correct TS,Correct TS
APYNAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQAGOQ,Minimum,Minimum,Correct TS,Correct TS
AQAHOR,Minimum,Minimum,Correct TS,Correct TS
AQANEL,Minimum,Minimum,Correct TS,Correct TS
AQAPAJ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AQARIU,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AQARUF01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQAWUL,Minimum,Minimum,Incorrect TS,Correct TS
AQAZID,Minimum,Minimum,Correct TS,Correct TS
AQEPES,Not Minimum,Minimum,Correct TS,Correct TS
AQEWUP,Minimum,Minimum,Correct TS,Correct TS
AQEYUQ,Minimum,Minimum,Correct TS,Correct TS
AQIDIO,Minimum,Minimum,Incorrect TS,Correct TS
AQIKIU,Minimum,Minimum,Correct TS,Correct TS
AQIKUG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AQINAP,Minimum,Minimum,Correct TS,Correct TS
AQINIX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQITOL,Minimum,Minimum,Correct TS,Correct TS
AQIWUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AQOCIU01,Minimum,Minimum,Correct TS,Correct TS
AQOPIG,Minimum,Minimum,Correct TS,Correct TS
AQUHAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ARADED,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ARAJUY,Minimum,Minimum,Correct TS,Correct TS
ARALAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ARANOW,Minimum,Minimum,Correct TS,Correct TS
ARAQIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ARAROB,Not Minimum,Minimum,Correct TS,Correct TS
ARARUH,Minimum,Minimum,Correct TS,Correct TS
ARAXAS01,Minimum,Minimum,Correct TS,Correct TS
ARBIMC10,Minimum,Minimum,Incorrect TS,Correct TS
AREBAC,Minimum,Not Minimum,Correct TS,Correct TS
AREBEE,Not Minimum,Not Minimum,Correct TS,Correct TS
AREGUB,Minimum,Minimum,Correct TS,Correct TS
ARERUL,Minimum,Minimum,Correct TS,Correct TS
ARESEV,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AREWID,Minimum,Minimum,Correct TS,Correct TS
ARFIMP10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ARFMAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ARIDOV,Minimum,Minimum,Correct TS,Correct TS
ARIFUE,Not Minimum,Minimum,Correct TS,Correct TS
ARIPUN,Minimum,Minimum,Incorrect TS,Correct TS
ARIWEF,Minimum,Minimum,Incorrect TS,Correct TS
ARIXUV,Minimum,Minimum,Correct TS,Correct TS
AROHOG,Minimum,Minimum,Correct TS,Correct TS
AROJAU,Minimum,Minimum,Incorrect TS,Correct TS
AROLUO,Minimum,Minimum,Incorrect TS,Correct TS
AROQOP,Not Minimum,Minimum,Correct TS,Correct TS
AROZIQ,Minimum,Minimum,Incorrect TS,Correct TS
ARUDEW,Minimum,Minimum,Incorrect TS,Correct TS
ASAFUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASALOX,Minimum,Minimum,Incorrect TS,Correct TS
ASATOF,Minimum,Minimum,Correct TS,Correct TS
ASAXIC,Minimum,Not Minimum,Correct TS,Correct TS
ASEFOU,Minimum,Minimum,Correct TS,Correct TS
ASENIW,Minimum,Minimum,Correct TS,Correct TS
ASIJOC,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ASIQUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASIREZ,Minimum,Minimum,Correct TS,Correct TS
ASITOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASITUR,Minimum,Minimum,Incorrect TS,Correct TS
ASIYAD,Minimum,Minimum,Correct TS,Correct TS
ASIZEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASOLOL,Minimum,Minimum,Correct TS,Correct TS
ASOLUR,Minimum,Minimum,Correct TS,Correct TS
ASOTOR,Minimum,Minimum,Incorrect TS,Correct TS
ASOTUX,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ASOZIS,Minimum,Minimum,Correct TS,Correct TS
ASPARM03,Minimum,Not Minimum,Correct TS,Correct TS
ASPLOL,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ASULIL,Minimum,Minimum,Correct TS,Correct TS
ASUMUW,Not Minimum,Minimum,Correct TS,Correct TS
ASUPOT,Minimum,Minimum,Incorrect TS,Correct TS
ASUQOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASUWOB02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ASUYAO,Minimum,Minimum,Correct TS,Correct TS
ATAWIC,Minimum,Minimum,Correct TS,Correct TS
ATDZPY,Minimum,Minimum,Correct TS,Correct TS
ATESUO,Minimum,Minimum,Correct TS,Correct TS
ATETCY10,Minimum,Not Minimum,Correct TS,Correct TS
ATEXOO,Minimum,Minimum,Correct TS,Correct TS
ATEYII,Minimum,Minimum,Correct TS,Correct TS
ATEYIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ATIJUK,Minimum,Minimum,Correct TS,Correct TS
ATIREC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ATISUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ATIYUZ,Minimum,Not Minimum,Correct TS,Correct TS
ATMHYD,Minimum,Minimum,Correct TS,Correct TS
ATOJIC,Minimum,Minimum,Correct TS,Correct TS
ATOJUQ,Minimum,Minimum,Correct TS,Correct TS
ATOKAX,Minimum,Minimum,Correct TS,Correct TS
ATOMAZ,Minimum,Minimum,Correct TS,Correct TS
ATOMED,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ATOSAF,Minimum,Minimum,Correct TS,Correct TS
ATOTZC10,Minimum,Minimum,Correct TS,Correct TS
ATOWIP,Minimum,Minimum,Correct TS,Correct TS
ATRVNT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ATUBOH,Minimum,Not Minimum,Correct TS,Correct TS
ATUDAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ATUHAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ATUHEC,Minimum,Not Minimum,Correct TS,Correct TS
ATUNEJ,Minimum,Minimum,Correct TS,Correct TS
ATUNOT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ATUQEN,Minimum,Minimum,Incorrect TS,Correct TS
ATUTOY,Minimum,Minimum,Correct TS,Correct TS
ATUTUE,Minimum,Minimum,Correct TS,Correct TS
ATUVUG,Minimum,Minimum,Correct TS,Correct TS
ATUWAN,Minimum,Minimum,Correct TS,Correct TS
ATUWUH,Minimum,Minimum,Correct TS,Correct TS
ATUZOE01,Minimum,Minimum,Correct TS,Correct TS
ATZCXA,Not Minimum,Minimum,Correct TS,Correct TS
AURCPB,Minimum,Minimum,Correct TS,Correct TS
AVAJAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AVALOZ,Minimum,Minimum,Correct TS,Correct TS
AVAMOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AVAZIG,Minimum,Not Minimum,Correct TS,Correct TS
AVIGET,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AVIGUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AVONUW,Minimum,Minimum,Correct TS,Correct TS
AVOSIN,Minimum,Minimum,Correct TS,Correct TS
AVOVIS,Not Minimum,Minimum,Correct TS,Correct TS
AVOWAL,Minimum,Minimum,Correct TS,Correct TS
AVOZIU,Minimum,Minimum,Incorrect TS,Correct TS
AVOZOA,Minimum,Minimum,Correct TS,Correct TS
AVUDOL,Minimum,Not Minimum,Correct TS,Correct TS
AVULEI,Minimum,Minimum,Correct TS,Correct TS
AVUTOA,Minimum,Minimum,Incorrect TS,Incorrect TS
AVUTUG03,Minimum,Minimum,Incorrect TS,Incorrect TS
AVUVAO,Minimum,Minimum,Incorrect TS,Correct TS
AVUVIW,Minimum,Minimum,Correct TS,Incorrect TS
AVUVOC,Minimum,Minimum,Incorrect TS,Incorrect TS
AVUXEW,Minimum,Not Minimum,Correct TS,Correct TS
AWAYON01,Minimum,Minimum,Incorrect TS,Correct TS
AWAZAA,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
AWAZOO,Minimum,Not Minimum,Correct TS,Correct TS
AWAZUU,Minimum,Not Minimum,Correct TS,Correct TS
AWEFIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AWELOE01,Minimum,Not Minimum,Incorrect TS,Correct TS
AWENIB02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWEWUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWEXOQ,Minimum,Minimum,Correct TS,Correct TS
AWIHOE10,Minimum,Minimum,Correct TS,Correct TS
AWITIL,Minimum,Not Minimum,Correct TS,Correct TS
AWIVEI,Not Minimum,Minimum,Correct TS,Correct TS
AWIVIM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWORUB,Minimum,Minimum,Correct TS,Correct TS
AWOSUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWOTAH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWOWUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWUFOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWUJUY,Minimum,Minimum,Correct TS,Correct TS
AWUKOS,Minimum,Minimum,Correct TS,Correct TS
AWULAG,Minimum,Minimum,Correct TS,Correct TS
AWULEK,Minimum,Minimum,Correct TS,Correct TS
AWULIO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AWUMUB,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AWUNOV01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AWURUF,Not Minimum,Minimum,Correct TS,Correct TS
AWUSOB,Minimum,Minimum,Correct TS,Correct TS
AWUTOC,Not Minimum,Minimum,Correct TS,Correct TS
AWUTOD,Minimum,Not Minimum,Correct TS,Correct TS
AWUVAR,Minimum,Minimum,Correct TS,Correct TS
AWUVEU,Minimum,Minimum,Correct TS,Correct TS
AWUWUK,Minimum,Minimum,Correct TS,Correct TS
AWUXOH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWUXUM,Minimum,Minimum,Correct TS,Correct TS
AWUZEY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AWUZIB,Minimum,Minimum,Correct TS,Correct TS
AXADAF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AXADUA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AXAFOU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AXALAM,Minimum,Minimum,Correct TS,Correct TS
AXALAN,Minimum,Not Minimum,Correct TS,Correct TS
AXALOB,Minimum,Minimum,Correct TS,Correct TS
AXAMAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AXAQIA,Minimum,Minimum,Correct TS,Correct TS
AXAREW,Minimum,Minimum,Correct TS,Correct TS
AXAROG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AXASOH,Minimum,Minimum,Incorrect TS,Correct TS
AXASUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AXAWIG,Minimum,Minimum,Incorrect TS,Incorrect TS
AXEBAI,Minimum,Minimum,Incorrect TS,Correct TS
AXEBUC,Minimum,Minimum,Correct TS,Correct TS
AXEJAQ,Minimum,Minimum,Correct TS,Correct TS
AXEKIY,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AXEKOD,Minimum,Minimum,Correct TS,Incorrect TS
AXELAQ,Not Minimum,Minimum,Correct TS,Correct TS
AXELAR,Minimum,Not Minimum,Correct TS,Correct TS
AXEMAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AXEMOH,Minimum,Minimum,Correct TS,Correct TS
AXETEE02,Minimum,Minimum,Correct TS,Correct TS
AXICIU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AXICUG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AXOQIP,Minimum,Minimum,Correct TS,Correct TS
AXOXUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AXOYER,Minimum,Minimum,Correct TS,Correct TS
AXULEL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AXUNOX,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AXUNUD,Minimum,Minimum,Correct TS,Correct TS
AXURAO,Minimum,Minimum,Incorrect TS,Correct TS
AXURIW,Minimum,Not Minimum,Correct TS,Correct TS
AXUXOH,Minimum,Minimum,Correct TS,Correct TS
AYAGIR,Minimum,Minimum,Correct TS,Correct TS
AYAKER,Minimum,Minimum,Correct TS,Correct TS
AYANEV,Minimum,Minimum,Correct TS,Correct TS
AYATUQ,Minimum,Minimum,Correct TS,Correct TS
AYAVIG,Minimum,Minimum,Correct TS,Correct TS
AYAVUS,Not Minimum,Minimum,Correct TS,Correct TS
AYECAJ,Minimum,Minimum,Correct TS,Correct TS
AYEKUL,Not Minimum,Minimum,Incorrect TS,Correct TS
AYELEW,Minimum,Minimum,Correct TS,Correct TS
AYENOI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYICIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AYIJID,Minimum,Minimum,Correct TS,Correct TS
AYIJOJ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AYIKOJ,Minimum,Minimum,Correct TS,Correct TS
AYILAX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYIYEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYOKUU,Minimum,Minimum,Correct TS,Correct TS
AYONUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYOQEL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AYOSUD,Minimum,Minimum,Correct TS,Correct TS
AYOTOY,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AYOYUK,Minimum,Minimum,Correct TS,Correct TS
AYOZUK,Minimum,Minimum,Correct TS,Correct TS
AYUDEE,Minimum,Minimum,Correct TS,Correct TS
AYUDOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYUFEG,Minimum,Minimum,Incorrect TS,Incorrect TS
AYUHOS,Minimum,Minimum,Incorrect TS,Correct TS
AYUJAH,Minimum,Minimum,Correct TS,Correct TS
AYUMUC,Minimum,Minimum,Correct TS,Correct TS
AYUNAJ,Minimum,Minimum,Correct TS,Correct TS
AYUNEN,Not Minimum,Minimum,Correct TS,Correct TS
AYUNIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AYUQAN,Minimum,Minimum,Correct TS,Correct TS
AYUSAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYUTOE,Minimum,Minimum,Correct TS,Correct TS
AYUVEX,Minimum,Minimum,Correct TS,Correct TS
AYUVOG,Minimum,Minimum,Correct TS,Correct TS
AYUZEZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AYUZID,Not Minimum,Minimum,Correct TS,Correct TS
AZABAF,Not Minimum,Minimum,Correct TS,Correct TS
AZACEL,Minimum,Not Minimum,Correct TS,Correct TS
AZADEN20,Minimum,Minimum,Correct TS,Correct TS
AZADMS10,Minimum,Minimum,Correct TS,Correct TS
AZAFAK,Not Minimum,Minimum,Correct TS,Correct TS
AZAFUD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZAFUE,Not Minimum,Minimum,Correct TS,Correct TS
AZAGAK,Minimum,Minimum,Correct TS,Correct TS
AZAJAM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AZALIX,Minimum,Minimum,Correct TS,Correct TS
AZAMIY,Minimum,Minimum,Correct TS,Correct TS
AZASUP,Minimum,Minimum,Correct TS,Correct TS
AZAZOS,Minimum,Minimum,Correct TS,Correct TS
AZBIOT10,Minimum,Minimum,Incorrect TS,Correct TS
AZCYHO,Minimum,Minimum,Correct TS,Correct TS
AZCYTD21,Not Minimum,Minimum,Correct TS,Correct TS
AZDCAR01,Minimum,Minimum,Incorrect TS,Correct TS
AZECIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZEHOE,Minimum,Minimum,Correct TS,Correct TS
AZEJAS,Minimum,Minimum,Correct TS,Correct TS
AZELIB,Minimum,Minimum,Correct TS,Correct TS
AZEPEA,Minimum,Minimum,Correct TS,Correct TS
AZEPIF,Minimum,Minimum,Correct TS,Correct TS
AZGUCM10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZHPXB,Minimum,Minimum,Correct TS,Correct TS
AZIDCH,Minimum,Minimum,Correct TS,Correct TS
AZIDES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZIJAW,Minimum,Minimum,Correct TS,Correct TS
AZILOM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AZIQAC,Minimum,Minimum,Correct TS,Correct TS
AZLNPR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZOLOR,Not Minimum,Minimum,Correct TS,Correct TS
AZONOT,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZOROX,Minimum,Minimum,Correct TS,Correct TS
AZOVUH,Minimum,Minimum,Correct TS,Correct TS
AZOXUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZOYEU,Minimum,Minimum,Correct TS,Correct TS
AZOZUL,Minimum,Minimum,Correct TS,Correct TS
AZTUBC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AZUGUY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AZUPER,Not Minimum,Minimum,Correct TS,Correct TS
AZURID10,Not Minimum,Minimum,Correct TS,Calc Fail
AZUYUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AZUZAW,Minimum,Minimum,Correct TS,Correct TS
AZUZEB,Not Minimum,Minimum,Correct TS,Correct TS
BABFOC,Minimum,Minimum,Correct TS,Correct TS
BABFUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BABFUI,Minimum,Minimum,Correct TS,Correct TS
BABGAP,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
BABGOA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BABTEG,Minimum,Minimum,Correct TS,Correct TS
BABTIK,Not Minimum,Minimum,Correct TS,Correct TS
BABTON,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
BABTUW,Not Minimum,Minimum,Correct TS,Correct TS
BABVEI,Not Minimum,Minimum,Correct TS,Correct TS
BABXAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BABXUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BABYEM,Minimum,Minimum,Correct TS,Correct TS
BABYUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
BABZAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BACCER,Minimum,Minimum,Correct TS,Correct TS
BACCIS,Minimum,Minimum,Incorrect TS,Correct TS
BACJOE,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
BACJOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BACJUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BACJUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BACKAR,Not Minimum,Minimum,Incorrect TS,Incorrect TS
BACMIB10,Minimum,Minimum,Correct TS,Correct TS
BACPAX,Minimum,Minimum,Correct TS,Correct TS
BACQAY,Minimum,Not Minimum,Correct TS,Correct TS
BACQOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BACQON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BACSEH,Minimum,Minimum,Correct TS,Correct TS
BACTEF,Minimum,Minimum,Correct TS,Correct TS
BACTIJ,Minimum,Minimum,Correct TS,Correct TS
BACTOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BACXEI10,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
BADCEO20,Minimum,Minimum,Correct TS,Correct TS
BADQEC,Minimum,Minimum,Correct TS,Correct TS
BADQEF,Minimum,Minimum,Correct TS,Correct TS
BADRAC,Minimum,Minimum,Correct TS,Correct TS
BADVUY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
BAFDIX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAFFOH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BAFGAU,Minimum,Minimum,Correct TS,Correct TS
BAFGUL01,Minimum,Minimum,Correct TS,Correct TS
BAFJIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAFLAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAFLEB,Minimum,Minimum,Correct TS,Correct TS
BAFURC,Minimum,Minimum,Correct TS,Correct TS
BAFWOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BAFXUF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
BAFYOW,Minimum,Minimum,Correct TS,Correct TS
BAFZUD,Minimum,Minimum,Correct TS,Correct TS
BAGBEQ,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
BAGDOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAGJEY10,Minimum,Minimum,Correct TS,Correct TS
BAGLUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAGPII,Minimum,Minimum,Correct TS,Incorrect TS
BAGPOQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAGQUY,Minimum,Minimum,Correct TS,Correct TS
BAGSAD,Minimum,Minimum,Correct TS,Correct TS
BAGXAJ,Minimum,Minimum,Correct TS,Correct TS
BAGXEM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
BAGXIQ01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAGYOY,Minimum,Minimum,Correct TS,Correct TS
BAHFIZ,Minimum,Minimum,Correct TS,Correct TS
BAHPYC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAJBUJ,Not Minimum,Not Minimum,Correct TS,Calc Fail
BAKDUN,Minimum,Minimum,Correct TS,Incorrect TS
BAKGOJ,Minimum,Minimum,Correct TS,Correct TS
BAKJUV,Minimum,Minimum,Correct TS,Correct TS
BAKKON,Minimum,Minimum,Incorrect TS,Incorrect TS
BAKLOO,Not Minimum,Minimum,Correct TS,Correct TS
BAKMUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
BAKNOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BAKVEQ,Minimum,Minimum,Correct TS,Correct TS
BAKVOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BAKYUI,Minimum,Minimum,Correct TS,Correct TS
BALBOF,Minimum,Minimum,Incorrect TS,Incorrect TS
BALCEZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
BALXET,Minimum,Minimum,Correct TS,Correct TS
BAMACR,Minimum,Minimum,Correct TS,Correct TS
BAMBEY,Minimum,Minimum,Correct TS,Correct TS
BAMCUP,Minimum,Minimum,Correct TS,Correct TS
BAMYET,Minimum,Minimum,Correct TS,Correct TS
BANCEY,Minimum,Minimum,Incorrect TS,Correct TS
BANFIG,Not Minimum,Minimum,Correct TS,Correct TS
BANHON,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
BANJAB,Minimum,Minimum,Correct TS,Correct TS
BANNEL,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
BANNOV,Minimum,Minimum,Correct TS,Correct TS
BANTAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BANTEP,Minimum,Minimum,Correct TS,Correct TS
BANVIY,Minimum,Minimum,Correct TS,Correct TS
BANVUK,Minimum,Minimum,Correct TS,Correct TS
BANXAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BANYUL,Minimum,Not Minimum,Correct TS,Correct TS
BAPHUV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
BAPJAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAPJIL,Minimum,Minimum,Correct TS,Correct TS
BAPLOT07,Minimum,Minimum,Correct TS,Correct TS
BAPPOZ,Minimum,Minimum,Correct TS,Correct TS
BAPPUF,Minimum,Minimum,Correct TS,Correct TS
BAPRAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAPRAM,Minimum,Minimum,Correct TS,Correct TS
BAPREP,Minimum,Minimum,Incorrect TS,Correct TS
BAQBEA01,Minimum,Not Minimum,Correct TS,Correct TS
BAQRUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAQSUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BAQVEX,Not Minimum,Minimum,Correct TS,Correct TS
BAQVOH,Minimum,Minimum,Correct TS,Correct TS
BAQZEZ,Minimum,Minimum,Correct TS,Correct TS
BARDON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BARKAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BARKIO10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BARPAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BARQAM,Minimum,Minimum,Correct TS,Correct TS
BARTIY,Minimum,Minimum,Correct TS,Correct TS
BARTOE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
BARZUS,Minimum,Minimum,Correct TS,Correct TS
BASBAY,Minimum,Minimum,Correct TS,Correct TS
BASJEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BASMUF,Minimum,Minimum,Correct TS,Correct TS
BASPOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BASVUM01,Minimum,Not Minimum,Correct TS,Correct TS
BASYOJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
BATFAF,Minimum,Minimum,Incorrect TS,Correct TS
