Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
AKITAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKIVUO,Minimum,Minimum,Correct TS,Correct TS
AKIWEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AKOCOU,Not Minimum,Minimum,Correct TS,Correct TS
AKOFUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOTOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKUFET,Not Minimum,Minimum,Correct TS,Calc Fail
AKUNEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKUSOP,Minimum,Minimum,Correct TS,Correct TS
AKUWUZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AKUYAG,Minimum,Minimum,Correct TS,Correct TS
AKUYIO,Minimum,Minimum,Correct TS,Correct TS
AKUZAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALAALA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALABUK,Minimum,Minimum,Correct TS,Correct TS
ALACEV01,Minimum,Minimum,Correct TS,Correct TS
ALAGEZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ALALIJ,Minimum,Minimum,Correct TS,Correct TS
ALANEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALAROU,Minimum,Minimum,Correct TS,Correct TS
ALAVOA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALAYUH,Minimum,Minimum,Correct TS,Correct TS
ALDCAR,Minimum,Minimum,Correct TS,Correct TS
ALEDEB,Minimum,Not Minimum,Incorrect TS,Incorrect TS
ALEGAC,Minimum,Minimum,Correct TS,Correct TS
ALESAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALETOC,Minimum,Minimum,Correct TS,Correct TS
ALGLYL,Minimum,Minimum,Incorrect TS,Correct TS
ALIPUJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOBOV,Minimum,Minimum,Correct TS,Correct TS
ALODAH,Minimum,Minimum,Correct TS,Correct TS
ALOLIW,Minimum,Not Minimum,Correct TS,Correct TS
ALOMAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOTOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALOWEF,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ALOXAN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALOZEI,Minimum,Minimum,Correct TS,Correct TS
ALUJIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALULEA,Minimum,Minimum,Correct TS,Correct TS
ALUNIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUNOL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALUXUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUZUE,Minimum,Not Minimum,Correct TS,Correct TS
ALXANM01,Minimum,Not Minimum,Incorrect TS,Correct TS
ALZFLR,Minimum,Not Minimum,Correct TS,Correct TS
AMACEY,Minimum,Minimum,Correct TS,Correct TS
AMADPH10,Not Minimum,Minimum,Correct TS,Calc Fail
AMAFAP,Minimum,Minimum,Correct TS,Correct TS
AMAFEZ01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMALEH,Not Minimum,Not Minimum,Correct TS,Correct TS
AMAQIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AMATEO,Minimum,Minimum,Correct TS,Correct TS
AMAYAQ,Not Minimum,Minimum,Correct TS,Correct TS
AMAYEU,Not Minimum,Minimum,Correct TS,Incorrect TS
AMBNZA01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMBSAM10,Minimum,Not Minimum,Correct TS,Correct TS
AMCAPR01,Minimum,Minimum,Incorrect TS,Correct TS
AMCHCA,Minimum,Minimum,Incorrect TS,Correct TS
AMDOIS,Minimum,Minimum,Correct TS,Correct TS
AMENAI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AMEQAK,Minimum,Minimum,Incorrect TS,Correct TS
AMEROZ,Minimum,Minimum,Correct TS,Correct TS
AMETMA,Minimum,Minimum,Correct TS,Correct TS
AMEVOF,Not Minimum,Minimum,Correct TS,Correct TS
AMHPYR,Minimum,Minimum,Correct TS,Correct TS
AMIDEF,Minimum,Minimum,Correct TS,Incorrect TS
AMIMCA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIMDZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMINER,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMIPET,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMITDZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMNPHA,Minimum,Not Minimum,Correct TS,Correct TS
AMNPQH10,Minimum,Minimum,Correct TS,Correct TS
AMOADA,Minimum,Minimum,Correct TS,Correct TS
AMOPOJ,Minimum,Minimum,Correct TS,Correct TS
AMOQEA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AMOXAC,Minimum,Minimum,Correct TS,Correct TS
AMPHOM11,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMPTRA10,Not Minimum,Minimum,Correct TS,Correct TS
AMPTRB10,Minimum,Minimum,Correct TS,Correct TS
AMTURM,Minimum,Minimum,Correct TS,Correct TS
AMURID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMUWEL,Minimum,Minimum,Correct TS,Correct TS
AMXPRI10,Minimum,Minimum,Correct TS,Correct TS
AMXPZT,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AMXZPY10,Not Minimum,Minimum,Correct TS,Correct TS
ANAGUT,Minimum,Minimum,Correct TS,Correct TS
ANAMUZ,Minimum,Minimum,Correct TS,Correct TS
ANAZTP10,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANIGAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ANITUN,Minimum,Minimum,Correct TS,Correct TS
ANITUO,Minimum,Minimum,Correct TS,Correct TS
ANIVOJ,Minimum,Minimum,Correct TS,Correct TS
ANOKAR,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ANONAL11,Minimum,Minimum,Correct TS,Correct TS
ANONIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANORUR,Not Minimum,Minimum,Correct TS,Correct TS
ANOTAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ANOTUT,Not Minimum,Minimum,Correct TS,Correct TS
ANOVEG,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ANUBUI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
ANUSAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APAHIJ,Minimum,Minimum,Correct TS,Correct TS
APAKEJ,Minimum,Minimum,Correct TS,Correct TS
APAKUZ,Minimum,Minimum,Correct TS,Correct TS
APAPIR,Minimum,Minimum,Incorrect TS,Correct TS
APAQIT01,Minimum,Minimum,Correct TS,Correct TS
APARIT,Minimum,Minimum,Correct TS,Correct TS
APAVIX,Minimum,Minimum,Correct TS,Correct TS
APAWAR,Minimum,Minimum,Incorrect TS,Correct TS
APEJEM,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
APEJUC,Minimum,Minimum,Correct TS,Correct TS
APENAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APENOA,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
APESIZ,Minimum,Minimum,Incorrect TS,Correct TS
APEVAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APEXAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APHAMA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
APHSYD,Minimum,Minimum,Incorrect TS,Correct TS
APIDUZ,Minimum,Minimum,Correct TS,Correct TS
APIFAH,Minimum,Minimum,Correct TS,Correct TS
APIXAA,Minimum,Minimum,Correct TS,Correct TS
