Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
CEXWEJ,188.11,30,-1.5741,-1.5231,1.91,-0.4747,2.7041,28.9092,7.4068,0.6848,9.772,1.9628,0.0759,1.6965,22.3
IFAPOV01,206.28,41.9,-3.0188,-2.4533,1.83,-0.3859,2.8905,28.7663,7.3283,0.776,9.7328,1.9862,0.0321,1.3511,17.8
MOFZEM,184.75,30.2,-2.5344,-1.4606,1.89,-0.4626,2.758,28.8818,7.3815,0.7958,9.7825,1.9769,0.0866,1.6107,15.7
MOGLPR,187.5,30.2,-2.2171,0.3643,1.92,-0.4704,2.7315,28.9324,7.3527,0.6912,9.8057,1.9811,0.0935,1.6832,23.7
BAFFUN,210.07,48.7,-3.2954,-2.5436,1.85,-0.3941,2.8793,28.73,7.3143,0.8449,9.7275,1.9909,0.0974,1.4234,18.9
CEWHOB,189.08,30,-1.7338,-0.3463,1.92,-0.4749,2.7181,28.948,7.3607,0.6661,9.8009,1.9783,0.1099,1.7216,22.9
QANWAE,233.27,41.9,-2.4803,-2.1999,1.9,-0.3767,2.9203,28.844,7.2622,0.7677,9.7619,1.9732,0.0692,1.1954,13.9
GESREC,197.25,32.8,-2.8916,-2.2393,1.86,-0.3925,2.8404,28.6975,7.3218,0.7509,9.7095,1.9017,0.1118,1.6986,18.9
FASROJ,214.83,40.7,-3.0706,-2.2919,1.86,-0.4301,2.8265,28.8344,7.3536,0.827,9.7816,1.9546,0.1081,1.1596,17
LEFNIV,220.75,42.1,-2.71,-1.5957,1.88,-0.4428,2.7993,28.8459,7.3446,0.7444,9.7939,1.9416,0.037,1.3242,14.9
BUKFIZ,230.99,36.8,-3.1602,-2.5246,1.84,-0.3946,2.8791,28.801,7.3036,0.8259,9.7619,1.9577,0.1191,1.136,14.7
AQEPES,185.71,28.6,-2.2448,-1.4276,1.88,-0.4643,2.7435,28.9094,7.3716,0.7146,9.797,1.9573,0.088,1.7317,21
VATFON,179.89,29.8,-2.5293,-1.3521,1.9,-0.4687,2.7468,28.8941,7.3885,0.8012,9.792,1.9772,0.0809,1.6165,15.8
WEZCUC,231.81,45.5,-2.6058,-1.7074,1.88,-0.4237,2.805,28.8724,7.3492,0.8105,9.7476,1.9448,0.0357,1.5846,12.8
IHUVIS,194.16,31.9,-3.293,-2.8562,1.83,-0.3834,2.8882,28.7799,7.3338,0.8105,9.7577,1.9664,0.0276,1.7312,20.4
AXICUG,183.73,31.1,-1.614,-0.065,1.93,-0.4787,2.7164,28.9612,7.3612,0.6675,9.8014,1.9697,0.1033,1.7055,24.2
JIRREK,205.51,36,-3.6472,-2.9562,1.84,-0.367,2.9403,28.7755,7.3281,0.8757,9.7465,1.9511,0.0609,1.2369,21.7
BUYRUI03,185.95,30.1,-1.7256,-0.7242,1.91,-0.4751,2.7254,28.9618,7.3638,0.6785,9.801,1.9686,0.074,1.6959,22.7
ZULWAG,191.87,41,-2.3906,-1.9481,1.85,-0.4051,2.8107,28.8042,7.3269,0.7371,9.7314,1.9268,0.0776,1.6971,14.2
SABZEA,159.46,26.8,-2.6368,-2.6193,1.85,-0.4363,2.8074,28.9139,7.3829,0.7988,9.7744,1.9699,0.0785,1.4817,16
MUBKIE,193.28,31,-2.4791,-1.941,1.87,-0.4417,2.7868,28.7705,7.374,0.773,9.7701,1.9677,0.0567,1.6363,18.1
CUJZIT,231.8,38.7,-2.5517,-1.7194,1.85,-0.4231,2.7771,28.7625,7.3427,0.7197,9.781,1.9743,0.0324,1.4482,14.8
TUPJOE,183.02,30.4,-2.6188,-1.6429,1.89,-0.4608,2.7616,28.8762,7.3783,0.8048,9.7805,1.9536,0.0544,1.701,16.1
KULNEN,207.88,40.1,-2.5895,-1.8309,1.89,-0.4504,2.7757,28.8619,7.3721,0.785,9.7747,1.9811,0.0959,1.1852,12.7
FIPXOR,194.37,31.7,-3.8952,-3.4666,1.84,-0.2964,3.0147,28.7066,7.2586,0.8822,9.6826,1.9872,0.0675,1.49,23.9
IXAQUT,194.61,33.9,-2.9075,-1.7606,1.87,-0.4479,2.7944,28.8642,7.3647,0.7932,9.8054,1.9527,0.0195,1.3003,17.6
GIGNUH,188.48,34,-3.3083,-2.994,1.81,-0.3304,2.9309,28.6584,7.3016,0.7892,9.6693,1.9213,0.0863,1.6583,23.5
FUMKII,208.67,32.7,-2.9966,-2.5228,1.86,-0.3929,2.8429,28.7029,7.3142,0.7558,9.7111,1.9833,0.0625,1.6259,21.5
KEFFIM,256.63,46,-2.8585,-1.7718,1.9,-0.3503,2.7782,28.7792,7.2784,0.7274,9.7844,1.9803,0.0154,1.6491,16.9
PEQDOH,213.09,41.8,-2.7996,-1.9468,1.88,-0.4351,2.8104,28.8278,7.3593,0.8074,9.7479,1.9305,0.0474,1.6634,13.3
WUGLIV,186.17,36,-2.6722,-2.0749,1.87,-0.4277,2.7906,28.8345,7.3523,0.7449,9.7496,1.982,0.0975,1.7485,30.3
WARSUD,245.44,40.4,-2.1884,-1.3467,1.92,-0.4436,2.8074,28.8863,7.3249,0.7666,9.7879,1.9609,0.1021,1.3867,25.1
LUVGIU,193.09,32.1,-3.0456,-2.5069,1.85,-0.378,2.8621,28.7264,7.3225,0.7725,9.7084,1.9479,0.1199,1.6769,27.7
HAMBAB,184.83,30.7,-2.591,-2.0661,1.85,-0.4245,2.7798,28.7807,7.3616,0.7261,9.7497,1.9799,0.111,1.7206,18.8
NIDNOG,179.03,30.3,-3.6247,-3.077,1.81,-0.3703,2.9121,28.7461,7.3371,0.8222,9.7649,1.9726,0.1047,1.1369,12.6
ERIWIM01,196.96,32.6,-2.9556,-2.3369,1.86,-0.3873,2.855,28.696,7.3164,0.7553,9.7063,1.9833,0.0666,1.6059,21.5
BADRAC01,233.72,40.8,-3.195,-2.8678,1.87,-0.2354,2.8986,28.7383,7.2724,0.7554,9.7773,1.9818,0.034,1.4458,18.6
SOXXAG,193.82,33.8,-3.3558,-2.7125,1.84,-0.3919,2.8865,28.6911,7.3429,0.8296,9.7332,1.902,0.0485,1.5608,17.6
UQUDUH01,194.24,30.7,-2.5904,-2.1864,1.87,-0.4328,2.8062,28.7631,7.3688,0.7785,9.7638,1.9737,0.0508,1.629,17.3
ESEGOA,205.74,32.7,-3.0232,-2.4505,1.85,-0.3756,2.8702,28.6767,7.3169,0.7586,9.6992,1.9079,0.1127,1.6976,21.1
PUFNAI,186.8,32.2,-2.6509,-1.3599,1.88,-0.4543,2.769,28.8686,7.3549,0.7637,9.7773,1.9788,0.0767,1.6852,15.2
WINMAI,197.79,32.6,-2.985,-2.4004,1.85,-0.3805,2.8634,28.6856,7.3135,0.7561,9.7016,1.8923,0.1082,1.701,21.5
EVIREI,180.51,30.2,-2.5999,-1.6032,1.89,-0.4655,2.7613,28.895,7.384,0.8106,9.7869,1.9734,0.0778,1.6105,15.6
KEQCOA,202.93,33.3,-3.3925,-3.0654,1.85,-0.3225,2.96,28.6591,7.2499,0.806,9.6629,1.9523,0.0789,1.7267,28
UPABOD,234.38,39.7,-2.2334,-1.9158,1.93,-0.4645,2.7534,28.8604,7.3461,0.7132,9.8056,1.9753,0.0782,1.2539,13.8
RUXFAU,218.75,36.8,-3.111,-2.5598,1.81,-0.3529,2.9345,28.7635,7.3306,0.7962,9.7586,1.9754,0.0232,1.3304,15.7
QUJXOJ,223.83,39.9,-3.1629,-2.3981,1.84,-0.4232,2.8392,28.817,7.3457,0.8327,9.7725,1.9608,0.0955,1.1682,15.9
AYATEZ,236.2,47.4,-2.6244,-2.4651,1.9,-0.4107,2.8203,28.8074,7.3177,0.7163,9.7548,1.9525,0.0984,1.1939,14.9
PANFOC,185.36,31.4,-2.6529,-1.6229,1.87,-0.4365,2.7788,28.8156,7.3586,0.7532,9.7539,1.9349,0.07,1.6358,18.5
CAMPLO10,186.31,28.9,-3.9952,-3.4474,1.77,-0.2928,3.0174,28.6365,7.2823,0.8659,9.6763,1.9633,0.0827,1.5585,22.5
BOLHER,196.34,33.8,-2.6342,-0.7149,1.91,-0.4673,2.7662,28.9088,7.3775,0.7757,9.804,1.9698,0.0513,1.1684,18.8
ELOJUM,233.77,37.8,-3.4231,-2.8358,1.86,-0.3835,2.8861,28.7837,7.3353,0.8184,9.7601,1.9789,0.0775,1.1411,17.3
ULAVOV,187.24,32.5,-2.6573,-1.2264,1.9,-0.4603,2.7666,28.8729,7.378,0.7959,9.7774,1.969,0.0575,1.6862,17.5
SIQWUM,181.41,30.6,-2.1844,0.2711,1.92,-0.4729,2.7324,28.9464,7.3624,0.6993,9.807,1.9674,0.1152,1.6596,22
MIKMUR,198.04,32.6,-3.029,-2.4475,1.85,-0.3745,2.8715,28.678,7.3117,0.7606,9.6972,1.8999,0.1106,1.6986,18.4
YAJKIF,180.5,30.2,-2.5622,-1.5312,1.89,-0.4673,2.7498,28.8889,7.3868,0.8017,9.788,1.9373,0.0531,1.6857,14.8
QECTID,210.91,33.7,-2.5812,-0.4878,1.91,-0.455,2.7585,28.8925,7.3267,0.7213,9.8272,1.9749,0.0239,1.4485,18.3
FORFUN,167.95,36.8,-2.0002,-0.7872,1.87,-0.4746,2.7613,29.0672,7.3624,0.7313,9.8007,1.9754,0.0876,1.6999,23.9
HIDQOD,233.55,37.9,-3.4677,-2.8884,1.85,-0.3784,2.8963,28.7832,7.3308,0.8243,9.7574,1.9651,0.0991,1.135,16.8
HUWYEF,187.82,36.1,-1.7513,-0.5754,1.91,-0.4764,2.7546,28.9783,7.3669,0.7172,9.8023,1.9772,0.0654,1.7054,23.9
WAJRAE,181.25,28.1,-1.94,0.1165,1.92,-0.4821,2.7171,28.9416,7.3268,0.7151,9.7937,1.9701,0.0784,1.6927,20.6
CUWFOS,182.72,30.4,-2.7036,-1.7349,1.88,-0.4565,2.7785,28.8509,7.3866,0.809,9.7781,1.9801,0.0893,1.6239,16.5
RUJPAQ,185.3,30.4,-2.6358,-1.6651,1.89,-0.4553,2.7735,28.8641,7.3783,0.8014,9.7733,1.9762,0.0858,1.6082,15.3
DAGJUQ,238.5,39.2,-2.7071,-1.7371,1.86,-0.374,2.8606,28.8313,7.2999,0.741,9.7817,1.9886,0.0213,1.4185,17.8
PILSOU,193,30.9,-2.5455,-2.0565,1.87,-0.4403,2.7934,28.7742,7.3748,0.7809,9.7669,1.9711,0.0515,1.6135,14.7
PUYKOM,285.9,52.6,-2.5937,-2.0345,2.08,-0.228,2.8562,28.7319,7.1706,0.4097,9.8494,1.9807,0.0778,1.1781,17
QAGZAC,204.43,32.2,-3.3013,-2.9068,1.84,-0.3291,2.9305,28.6681,7.283,0.7899,9.6677,1.9613,0.1205,1.6712,25.1
VONYUS,198.64,35.7,-1.8411,-0.1226,1.92,-0.4666,2.7289,28.8745,7.3529,0.6856,9.805,1.9847,0.0888,1.7262,27.7
AWULEK,232.54,37.6,-3.1665,-2.4764,1.86,-0.4112,2.8457,28.8306,7.3497,0.8158,9.7794,1.9827,0.077,1.147,17.4
YITXEH,194.33,33.3,-2.2575,-1.4307,1.88,-0.4565,2.741,28.8487,7.3616,0.7287,9.7884,1.976,0.101,1.7421,17
VOKZAY,194.01,32.3,-1.9585,-0.9187,1.94,-0.472,2.7276,28.9367,7.4088,0.733,9.8032,1.971,0.0573,1.6584,23
ZAZGIS,191.89,31.7,-3.2138,-2.7079,1.85,-0.3679,2.9142,28.7712,7.3144,0.842,9.6878,1.9607,0.073,1.7387,20.6
MELTEF,184.49,30.3,-2.674,-1.9773,1.88,-0.4514,2.7792,28.8584,7.3721,0.8083,9.7709,1.9617,0.0603,1.6864,15.5
AKEQEN,195.83,33.7,-3.0763,-2.2754,1.84,-0.4141,2.8626,28.8053,7.3517,0.8037,9.7578,1.9817,0.0146,1.2351,18.6
URAKUU,184.54,30.8,-2.7418,-1.4302,1.89,-0.4561,2.7778,28.8523,7.3743,0.8014,9.7703,1.9558,0.0523,1.6601,18.1
SILFOI,194.89,32.8,-2.9006,-2.2366,1.86,-0.3997,2.8467,28.7282,7.3197,0.7558,9.7155,1.9171,0.116,1.7008,15.1
PIPMDC11,194.15,30.9,-2.6631,-2.3107,1.86,-0.4239,2.822,28.7528,7.3631,0.7856,9.7547,1.9591,0.0693,1.673,31
ZEBDOC,159.13,25.7,-2.713,-2.1341,1.85,-0.4532,2.7853,28.9464,7.4016,0.8246,9.7765,1.9641,0.058,1.5469,21.5
FINJET,185.72,31.6,-2.6815,-1.4176,1.89,-0.4583,2.7696,28.882,7.3757,0.8053,9.7752,1.9604,0.0611,1.6684,16.5
DESTER,187.64,32.1,-2.7375,-1.9615,1.86,-0.4213,2.8114,28.7906,7.3469,0.7633,9.7519,1.9368,0.0781,1.6335,17.8
RIRTET,233.26,40.1,-3.5638,-3.1038,1.85,-0.3551,2.9353,28.7735,7.2981,0.8197,9.7406,1.9839,0.0752,1.1427,27.3
JEKZUV,186.77,33.3,-2.2115,-2.0506,1.89,-0.4238,2.844,28.8868,7.2997,0.842,9.7618,1.9678,0.0715,1.6835,12.7
BOCNOX,183.98,28.5,-3.6214,-3.139,1.79,-0.3425,2.953,28.6871,7.2998,0.8469,9.7291,1.9382,0.0754,1.527,21.8
REXSOD,181.1,29.3,-2.5178,-1.2643,1.89,-0.4628,2.7404,28.8587,7.3509,0.7245,9.7876,1.9765,0.1005,1.7374,18.9
HANNOZ,182.73,29,-2.5356,-1.7488,1.89,-0.4573,2.7577,28.8625,7.3786,0.7697,9.771,1.9797,0.1244,1.7268,14.1
AVOWAL,233.48,38,-3.7244,-3.3287,1.84,-0.3495,2.9394,28.7775,7.3319,0.835,9.7602,1.9605,0.0779,1.1632,17
KOPHOM,195.86,31.8,-3.2371,-2.7319,1.85,-0.3529,2.9099,28.7129,7.2816,0.7917,9.6824,1.9303,0.1209,1.6995,22.3
OGUNAI,193.29,40.6,-1.8243,-1.4304,1.88,-0.4444,2.7516,28.8528,7.348,0.6933,9.712,1.9484,0.0967,1.6597,21.3
YUSQUA,184.64,30.2,-2.6513,-1.6658,1.89,-0.4551,2.7771,28.8523,7.3842,0.7997,9.7771,1.9717,0.0475,1.694,17.1
PILFIA,231.94,38.4,-3.2159,-2.5806,1.85,-0.3895,2.8965,28.8158,7.3086,0.8151,9.7662,1.9618,0.0923,1.1478,16.9
FEPMUL,192.72,32.1,-3.21,-2.6626,1.84,-0.3587,2.9002,28.7121,7.3073,0.7883,9.683,1.9422,0.0967,1.6102,20.8
DUXGOT,184.35,30.6,-2.6208,-1.4877,1.89,-0.46,2.7684,28.8728,7.3782,0.799,9.7772,1.9742,0.0766,1.6177,16
MACKAD,182.14,30.7,-2.2796,-2.2654,1.86,-0.4458,2.7538,28.8376,7.3536,0.7336,9.7792,1.9509,0.0911,1.7193,14
ROTPIB,193.44,32.5,-3.2773,-2.7817,1.84,-0.3479,2.9119,28.6909,7.2953,0.7878,9.6783,1.9463,0.0769,1.6178,21.4
OJOXAN,177.99,35.3,-3.324,-3.1186,1.81,-0.3562,2.9468,28.8082,7.3362,0.8257,9.7133,1.9492,0.0724,1.4721,16
AFISIS,194.01,34.6,-2.853,-3.1168,1.83,-0.3382,2.9222,28.756,7.2839,0.7571,9.6726,1.9801,0.1015,1.5955,12.8
TIYYEF,195.81,37.5,-2.6655,-1.1858,1.88,-0.4403,2.772,28.8158,7.3385,0.7475,9.7612,1.9633,0.1175,1.6396,15
VIBCAM,191.99,30.6,-2.3373,-1.7597,1.83,-0.3585,2.9338,28.668,7.2959,0.7907,9.701,1.9706,0.069,1.5658,12.1
JIPCOD,224.5,38.8,-3.8022,-3.2774,1.82,-0.3361,2.9758,28.7323,7.3091,0.8074,9.7327,1.976,0.0404,1.1141,23.1
FOHGIV,189.54,33.5,-3.0797,-2.4497,1.85,-0.4071,2.852,28.7615,7.3546,0.8247,9.7154,1.9675,0.0616,1.7788,18.3
DIDNUB01,201.89,32.6,-3.3929,-3.0661,1.84,-0.3232,2.9376,28.6134,7.2734,0.7774,9.6662,1.8868,0.1094,1.6865,23.9
CUTTOB,181.24,30.8,-2.8068,-1.7875,1.87,-0.4469,2.7824,28.7998,7.3679,0.7604,9.7748,1.9518,0.0506,1.3623,18.7
XIPNOC,186.34,28.6,-2.2988,-2.2187,1.87,-0.4431,2.7843,28.8377,7.3777,0.7655,9.7609,1.9797,0.097,1.5464,23.2
OSIVES,194.08,29.5,-2.3857,-2.3849,1.85,-0.3919,2.8487,28.7865,7.3414,0.7581,9.6913,1.9861,0.0828,1.6887,21.7
LOGBAL,187.89,31.9,-2.7298,-1.7536,1.87,-0.4314,2.7928,28.8334,7.3427,0.7641,9.7541,1.941,0.0722,1.6403,23.2
SEWFEH,194.53,34.8,-2.3851,-1.382,1.88,-0.4617,2.7507,28.8884,7.3744,0.7501,9.7815,1.9785,0.0295,1.7381,16.9
USOMOF,180.31,29.7,-2.3784,-1.3845,1.89,-0.4687,2.7413,28.8808,7.3656,0.7187,9.8001,1.9778,0.0691,1.7239,23.3
MITMOU,189.86,33.7,-2.7987,-2.087,1.87,-0.4268,2.8036,28.8461,7.3523,0.7524,9.7714,1.9617,0.1206,1.337,12.9
PAPBIU,217.21,36.3,-3.0468,-2.55,1.87,-0.3865,2.8481,28.8061,7.3282,0.755,9.7387,1.9407,0.0659,1.367,32.1
BAXJUF,229.41,39.9,-2.4069,-2.0362,1.92,-0.46,2.754,28.8811,7.3563,0.7277,9.8023,1.9842,0.0897,1.2215,15
ZIPSIC,184.92,31.2,-2.9753,-1.9013,1.84,-0.4322,2.7964,28.8385,7.3634,0.7675,9.7784,1.9821,0.0509,1.3635,18
VEZJAO,224.66,36.1,-3.8694,-3.5959,1.83,-0.3054,3.0023,28.7773,7.2768,0.8386,9.7367,1.907,0.0146,1.6236,21.6
KUKXEV,183.89,30.4,-2.6148,-1.4368,1.89,-0.4603,2.7677,28.8838,7.38,0.8007,9.7777,1.976,0.0847,1.5994,16.3
SIJZER,186.72,32.2,-2.6298,-1.8061,1.89,-0.4587,2.7659,28.8834,7.378,0.8037,9.7782,1.9775,0.0848,1.5935,15.5
KUVGIS,184.18,31.2,-2.852,-2.1759,1.87,-0.4321,2.8191,28.8167,7.3605,0.812,9.7527,1.9595,0.0591,1.6789,15.9
VEKTOW,209.87,48.3,-2.9417,-2.1024,1.88,-0.388,2.83,28.8586,7.284,0.7714,9.7027,1.9521,0.0962,1.4862,22.5
FEQVAB01,189.32,30.4,-2.6325,-1.7747,1.89,-0.4626,2.7615,28.8617,7.3827,0.8125,9.7912,1.9775,0.0681,1.5858,18.3
XINRIV02,209.99,35.8,-1.8464,-0.5724,1.91,-0.4894,2.7371,28.9942,7.3355,0.6633,9.8307,1.9737,0.0225,1.2623,22.6
YONNUM,203.32,35,-3.2396,-2.8601,1.84,-0.3376,2.9164,28.6901,7.292,0.7855,9.6788,1.9666,0.0784,1.6163,22.9
MEKPUQ,186.27,30.4,-3.6512,-2.9647,1.81,-0.375,2.9238,28.777,7.3368,0.8561,9.7598,1.9599,0.0849,1.085,21.1
VAMXOY,245.68,40.5,-2.4805,-2.2257,1.91,-0.4469,2.7763,28.8806,7.3399,0.7493,9.7891,1.9652,0.0778,1.2194,16.7
BAKKON,178.46,28.9,-2.2178,0.5766,1.9,-0.4735,2.7419,28.9196,7.3582,0.7099,9.7996,1.937,0.0695,1.6946,25.8
CURKIM,180.9,33.1,-2.0152,0.6416,1.92,-0.4749,2.7275,28.9508,7.3663,0.6869,9.8072,1.9623,0.0563,1.7597,22.6
YOFGUX,230.44,42.7,-3.0577,-1.9601,1.86,-0.3696,2.8342,28.8125,7.2947,0.7613,9.7915,1.9802,0.0244,1.3859,16.3
BODFEF,183.62,28.7,-1.8826,0.4558,1.93,-0.4813,2.7251,28.9397,7.4075,0.7014,9.8115,1.9746,0.0177,1.614,22.3
BARPAL,214.47,38.6,-2.5926,-0.5877,1.91,-0.4457,2.7588,28.8969,7.3178,0.7247,9.8204,1.9853,0.0298,1.3974,17.4
BEBFET,215.6,38.4,-3.5199,-2.773,1.83,-0.3762,2.9072,28.738,7.3195,0.8448,9.7511,1.9376,0.0876,1.1491,14.4
KISCEW,239.22,36.9,-2.846,-2.3722,1.86,-0.4199,2.8192,28.8422,7.3496,0.7904,9.7557,1.9757,0.0691,1.1946,16.3
TECDEL,239.25,55,-2.8801,-2.4251,1.95,-0.4114,2.7715,28.9382,7.3386,0.7131,9.7956,1.9657,0.0658,1.2336,30.9
LEBBID,216.8,39.3,-3.1512,-2.5027,1.85,-0.3818,2.8701,28.7986,7.3219,0.7591,9.7169,1.9643,0.0195,1.6136,28.5
DERKOB,198.99,34.7,-3.3075,-2.7178,1.84,-0.3481,2.911,28.7014,7.3,0.8019,9.6768,1.9564,0.1184,1.6594,23.9
HUKPUY,179.96,27.8,-3.0755,-2.659,1.82,-0.4106,2.853,28.7826,7.3367,0.8291,9.7593,1.9295,0.0598,1.7164,21.7
WOJVEY,224.05,42.8,-2.7129,-1.7977,1.87,-0.4089,2.7684,28.7672,7.319,0.7365,9.7939,1.9811,0.0298,1.6623,12.4
XINBOM,220.36,38.7,-3.1153,-2.4746,1.86,-0.4173,2.8451,28.8,7.3399,0.8055,9.777,1.9677,0.0932,1.1464,14.2
ISODEA,204.25,47.9,-2.051,-0.5032,1.91,-0.4376,2.8087,29.0671,7.358,0.8228,9.7242,1.9804,0.0742,1.7663,8.6
TOPXAZ,197.21,36.3,-2.1648,-1.5492,1.92,-0.4684,2.739,28.8875,7.3428,0.7271,9.7883,1.9732,0.0506,1.5905,16.8
XOFFAB,213.91,37.7,-2.7966,-1.9535,1.87,-0.4402,2.8094,28.8734,7.3528,0.7699,9.8084,1.9798,0.0251,1.3109,16.3
KEYYEU,215.31,39.9,-2.8049,-2.1068,1.88,-0.4321,2.8182,28.7943,7.3347,0.7803,9.7598,1.9767,0.1161,1.0982,14.4
IPOKAA,202.93,35,-3.2603,-2.7871,1.83,-0.3465,2.9093,28.6788,7.3009,0.7898,9.6784,1.9637,0.0705,1.6248,22.5
WEJBUI,231.69,37.7,-3.0878,-2.3097,1.87,-0.4336,2.816,28.8484,7.3636,0.8263,9.7975,1.9832,0.0628,1.1476,18
GUHROQ01,201.44,35.7,-3.7633,-3.1471,1.81,-0.3498,2.9417,28.7371,7.3244,0.8314,9.7354,1.9802,0.0278,1.3347,17.4
VOQXOP,209.34,37,-2.9617,-2.3998,1.85,-0.4018,2.8812,28.7441,7.3065,0.7812,9.7432,1.9683,0.0273,1.6219,17.1
LADVOE,205.19,35.6,-2.9076,-2.5454,1.89,-0.4096,2.8538,28.8488,7.3487,0.7995,9.7617,1.9656,0.1144,1.1777,17.7
KADDUQ,234.8,38,-3.8115,-3.4605,1.85,-0.3254,2.9713,28.8052,7.3059,0.847,9.7367,1.9747,0.0978,1.1277,15.8
BIBZIW,187.01,31.6,-2.424,-1.9545,1.86,-0.4272,2.782,28.851,7.3491,0.7121,9.735,1.9528,0.0952,1.5724,18.8
POFLUS,219.61,40.2,-3.2435,-2.6555,1.85,-0.4001,2.8793,28.7944,7.3323,0.8242,9.7585,1.9794,0.0845,1.1442,17.2
JETKUR,192.58,34.1,-3.067,-2.3688,1.84,-0.3896,2.8515,28.7308,7.3532,0.7849,9.7103,1.9558,0.1167,1.6893,18.5
NEPNTH,202.52,34.2,-3.3026,-2.8081,1.83,-0.3393,2.9171,28.6733,7.3013,0.7954,9.672,1.9515,0.1185,1.6855,23.5
SALBOZ,184.07,33.7,-2.5883,-1.5876,1.88,-0.4539,2.7561,28.9017,7.367,0.7729,9.7774,1.977,0.0936,1.7093,14.5
GURHAD,226.58,41.3,-3.1382,-2.5355,1.87,-0.3674,2.8841,28.8332,7.2714,0.7856,9.7095,1.9371,0.0434,1.6466,15.6
LEZVIY,202.08,36.2,-3.1849,-2.8709,1.83,-0.3641,2.925,28.7431,7.311,0.8068,9.7099,1.9632,0.0916,1.7356,20.2
GEGROC,187.62,28.9,-1.7019,-1.5958,1.89,-0.4684,2.7304,28.9153,7.3571,0.6841,9.7934,1.9744,0.0864,1.71,18
ROXCAL,202.94,32.4,-3.2171,-3.0328,1.85,-0.3333,2.9191,28.6249,7.2849,0.7486,9.6791,1.8903,0.1149,1.6792,22.8
HUCRON,190.66,31.3,-2.8504,-1.6302,1.86,-0.4439,2.8038,28.8483,7.3786,0.8138,9.7777,1.9687,0.0611,1.0815,19
CUJZOZ,165.03,27.9,-1.9263,0.7586,1.92,-0.4855,2.7087,29.0665,7.4083,0.7185,9.8122,1.9715,0.0646,1.395,44
UCAHUD,231.17,37.9,-3.1336,-2.3706,1.86,-0.4249,2.8215,28.8538,7.3494,0.8229,9.7871,1.9727,0.0883,1.123,15.4
LAXQUZ,193.89,31.7,-3.1749,-2.719,1.83,-0.3509,2.9051,28.6973,7.3066,0.7855,9.6783,1.9519,0.1129,1.6,20.8
XIDREH,187.16,30.9,-3.9707,-3.4354,1.78,-0.2897,3.0171,28.624,7.2739,0.8566,9.6642,1.9776,0.0951,1.5387,22.9
BANWUJ,188.49,36.2,-2.458,-1.3944,1.88,-0.4525,2.7621,28.7834,7.358,0.7294,9.7706,1.974,0.0584,1.656,15.9
DIWMAA,236.08,37.8,-2.5942,-2.419,1.9,-0.4193,2.8311,28.8666,7.3243,0.7526,9.7734,1.9818,0.0706,1.1937,17.2
RIFZAI,238.96,37,-2.9324,-2.6378,1.85,-0.36,2.942,28.8109,7.2755,0.8158,9.7253,1.9666,0.0767,1.2266,12.1
OFOWOW,214.69,43.7,-2.9619,-2.1438,1.85,-0.4053,2.8752,28.8288,7.3075,0.7875,9.7488,1.9292,0.0189,1.2735,17.2
YAFYEL01,220.71,39.9,-2.4022,-1.5897,1.93,-0.4598,2.7617,28.8792,7.3447,0.7204,9.8014,1.9624,0.0735,1.2254,14
WIPRIY,240.62,37.1,-2.9156,-2.5025,1.85,-0.4088,2.8351,28.831,7.3424,0.7959,9.7455,1.9784,0.0716,1.1983,16.6
WABLUK,204.45,35.1,-3.9269,-3.4624,1.83,-0.3023,3.0152,28.7049,7.273,0.8815,9.6899,1.9726,0.098,1.6402,20.5
YELLAC,189.79,31.3,-2.9286,-2.0197,1.85,-0.4102,2.8225,28.791,7.335,0.7763,9.7278,1.9543,0.0596,1.6163,20
BAJSOX,241.11,57.5,-2.29,-1.1634,1.92,-0.4437,2.7336,28.8741,7.3512,0.6868,9.7867,1.991,0.118,1.1888,15.2
AXALOB,181.08,32.1,-3.1967,-2.4076,1.84,-0.4324,2.8337,28.8268,7.3695,0.8312,9.8086,1.9592,0.028,1.2127,16.3
ICENOW,186.81,32,-3.0881,-2.682,1.83,-0.3725,2.8767,28.7675,7.3258,0.7608,9.6944,1.9611,0.0882,1.5793,24.4
JOYSAU,194.96,41.5,-2.6258,-1.5755,1.92,-0.4687,2.7572,28.8491,7.3369,0.7304,9.8444,1.9672,0.0077,1.3907,19.1
XANYIW,188.81,32.4,-1.6243,-1.5898,1.9,-0.4673,2.7238,28.9014,7.359,0.6656,9.7653,1.9667,0.058,1.695,22.1
KAKFIO,213.1,36.8,-3.2026,-2.7381,1.83,-0.3346,2.9443,28.6908,7.2817,0.8137,9.6767,1.9805,0.0943,1.5782,24.5
JEYNOR,196.04,34.2,-3.2405,-2.4509,1.83,-0.4052,2.8689,28.8165,7.3513,0.8197,9.7697,1.976,0.0292,1.2031,17.2
ZISQOK,208.36,38.2,-3.5067,-2.9809,1.81,-0.2902,3.0045,28.6704,7.2654,0.8401,9.6448,1.9473,0.1145,1.6991,27.5
