Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
VAYKEN,85.18,-1.57,181.32,3.68,5.9,13.16,28.6,22.1,16.7,797.7,-4.1812,-3.2395,2.24,1.89,-0.13,0.16,2.49,1.96,3,2.93,2.55,1.36,1.22,91.99,73.14,87.93,96.58,111.03,127.94,109.06,124.36,-0.384,0.1452,-0.131,0.2759,0.1802,0.1951,-0.4619,0.0836,2.3508,3.0583,3.6693,2.0653,2.1613,4.172,2.1108,29.012,7.1875,5.7912,25.291,8.3865,8.3853,5.8052,8.3739,0.6359,0,0.4721,0.5569,0.3418,0.2715,0.6026,0,1.9049,1.0984,2.7927,2.7796,0.9011,0.9955,0.883,3.0076,3.5901,1.1894,1.1753,1.2253,3.6376,3.4801,3.85,3.6044,10.1349,2.0263,2.0471,2.0129,2.0315,2.0171,6.3588,12.5941,4.2491,4.1207,4.2243,10.4308,2.0749,2.0534,2.1029,2.1093,2.0902,1.3671,1.567,1.4385,0.0722,0.0165,0.0214,0.0083,1.3789,1.5098,1.4948,0.0868,0.0116,0.015,0.0262,0.0095,2.7434,2.6923,0.9595,0.929,0.8037,3.3973,4.4466,1.4938,1.5468,1.4059,-429.71,36.7
WEYKIX,79.14,1.07,215.16,2.17,8.36,10.12,37.5,27.1,16.4,693.87,-4.1561,-2.8869,2.08,2.07,-0.01,-0.03,2.56,2.06,3.15,3.04,2.48,1.37,1.22,86.05,77.51,89.25,101.69,107.8,123.14,108.89,125.15,-0.3855,0.152,-0.1694,0.2867,0.1431,0.1848,-0.4517,0.0813,2.378,3.0284,3.7675,3.16,2.1668,4.0368,2.1309,29.0697,7.2245,5.7856,25.2753,7.0039,8.3719,5.7079,8.3829,0.5723,0,0.5518,0.5082,0.3999,0.5359,0.3987,0,1.9331,1.0372,2.7916,2.7945,0.9349,1.0717,0.7879,3.0116,3.5869,1.1734,1.2537,1.1597,3.6482,3.5143,3.7837,3.613,10.1381,2.0234,2.0513,2.0199,2.0274,2.0161,6.3623,12.5889,4.1994,4.1621,4.2274,10.434,2.0589,2.0929,2.1281,2.077,2.0771,1.1533,1.2716,1.0956,0.3055,0.0435,0.0842,0.0386,1.3907,1.5611,1.4364,0.0774,0.0106,0.0143,0.0237,0.0098,2.7437,2.6871,0.9806,0.9553,0.7512,3.3981,4.4483,1.5038,1.6174,1.327,-431.45,36.7
WILKAG,87.77,7.76,187.28,1.99,9.17,6.6,36,28.2,20.2,720.65,-4.334,-3.5868,2.07,1.93,-0.11,0.01,2.51,2.08,3.27,2.37,2.57,1.35,1.24,88.02,80.1,87.11,104.77,91.59,138.67,108.13,122.04,-0.3375,0.1771,-0.1257,0.3419,0.1459,0.1822,-0.4517,0.133,2.5459,2.926,3.7446,2.0088,2.0392,4.1255,2.0167,28.9164,7.1804,5.7625,25.236,8.4186,8.371,5.8168,8.3719,0.5951,0,0.4847,0.3942,0.3715,0.4119,0.5398,0.159,1.731,1.0872,2.7939,2.7736,1.0239,0.9125,0.8372,3.0147,3.5597,1.2799,1.137,1.1428,3.6279,3.6623,3.6351,3.5966,10.1215,2.0236,2.028,2.0312,2.0128,2.0259,6.3723,12.5511,4.1239,4.2376,4.1897,10.4138,2.0971,2.0714,2.0803,2.0894,2.0756,1.4706,1.5706,1.3853,0.0746,0.0231,0.0144,0.0127,1.4249,1.5303,1.436,0.0828,0.013,0.0207,0.0164,0.0197,2.7358,2.6803,0.9538,0.8457,0.8808,3.3817,4.411,1.5817,1.4023,1.427,-437.67,36.7
ZUQTEM,73.29,8.4,213.67,4.3,9.25,10.28,44.8,34.2,22.3,837.89,-3.9159,-2.8097,2.13,2.25,-0.23,-0.05,2.58,2.14,3.09,2.95,2.45,1.36,1.23,84.29,75.89,91.57,97.7,104.86,127.55,108.82,125.52,-0.4478,0.168,-0.1904,0.3207,0.1809,0.117,-0.4596,0.081,2.0782,2.941,3.6215,2.1328,2.9305,4.133,2.1158,28.9038,7.2423,5.7479,25.2338,8.3714,7.1713,5.7651,8.3822,0.5814,0,0.5541,0.3911,0.3736,0.3427,0.2689,0,1.9221,1.1007,2.7893,2.7994,0.8997,1.0751,0.8245,3.0104,3.5707,1.2061,1.1631,1.2015,3.6169,3.6321,3.7547,3.5131,10.1458,2.0271,2.0417,2.0254,2.0274,2.0243,6.3545,12.5283,4.1848,4.1543,4.1892,10.5649,2.1515,2.0824,2.1242,2.0851,2.1217,1.4378,1.5747,1.3785,0.0751,0.0185,0.0049,0.0276,1.3333,1.1297,1.0796,0.3028,0.0852,0.0376,0.0696,0.0426,2.7433,2.6928,0.9625,0.9257,0.8046,3.3996,4.4472,1.5757,1.5059,1.3656,-437.82,36.7
ATZCBX,85.36,-2.36,185.62,1.86,5.26,7.88,30.8,19.2,9.2,523.32,-3.5453,-2.2003,2.09,1.96,-0.06,0.04,2.54,2.14,3.15,3.18,2.42,1.34,1.23,84.01,78.61,89.68,98.29,106.92,117.33,109.76,126.8,-0.4886,0.157,-0.194,0.3397,0.102,-0.0567,-0.4764,0.0278,2.3509,2.912,3.6671,3.0918,3.0838,4.1189,2.0818,29.131,7.2791,5.7255,25.252,7.0263,7.359,5.7241,8.4336,0.6211,0,0.5668,0.3599,0.3558,0.4002,0.6795,0,1.8952,1.1207,2.7941,2.8066,0.8988,1.0461,0.8617,3.0087,3.5846,1.2099,1.1939,1.1809,3.6117,3.4329,3.8512,3.589,10.1564,2.0259,2.057,2.0202,2.0334,2.0198,6.3874,12.6514,4.2009,4.1957,4.2548,10.4496,2.0558,2.1757,2.0818,2.0597,2.0767,1.1061,1.1673,1.2447,0.3259,0.0473,0.0952,0.0288,1.326,1.1471,1.3579,0.1531,0.0164,0.024,0.0497,0.0177,2.7436,2.7046,0.9765,0.9591,0.7689,3.4074,4.4938,1.5491,1.5773,1.3674,-394.89,36.8
BAKGOJ,81.67,-1.01,177.86,1.82,4.32,11.81,27.5,16.1,9.2,622.13,-4.113,-3.3341,2.22,1.9,-0.11,0.12,2.5,1.96,3,2.98,2.54,1.36,1.22,91.42,72.85,87.94,96.31,112.57,126.5,109.09,124.49,-0.3797,0.1435,-0.1346,0.2668,0.1642,0.1844,-0.4621,0.0809,2.3163,3.0573,3.6602,2.1005,2.1898,4.1763,2.1116,28.9824,7.1915,5.7896,25.298,8.3584,8.3526,5.8067,8.3752,0.6121,0,0.4804,0.5585,0.3468,0.2531,0.5829,0,1.9086,1.0995,2.7924,2.7812,0.9002,1.0104,0.8707,3.0074,3.5919,1.1925,1.1785,1.2208,3.6427,3.4786,3.8549,3.6041,10.136,2.026,2.0491,2.0128,2.0312,2.017,6.3624,12.5941,4.2467,4.1208,4.2266,10.423,2.0713,2.0528,2.0944,2.1075,2.097,1.3792,1.5738,1.4366,0.0728,0.0176,0.0202,0.0083,1.39,1.5004,1.5028,0.0864,0.0115,0.0145,0.0261,0.009,2.7439,2.6927,0.9628,0.9341,0.7958,3.3982,4.4483,1.4996,1.5539,1.3947,-432.03,36.8
CATDAE01,62.58,0.27,155.66,1.79,4.39,9.15,23.9,14.1,8.3,553.21,-3.6642,-2.9272,2.21,1.99,-0.07,0.05,2.52,2,3.01,2.93,2.51,1.36,1.22,89.95,73.38,89.29,96.52,109.32,128.15,108.85,124.72,-0.3769,0.1486,-0.1527,0.2507,0.0891,0.0927,-0.4628,0.0764,2.1544,3.015,3.6948,2.0104,2.0309,4.1743,2.1013,29.0318,7.209,5.8032,25.3125,8.4518,8.4549,5.7961,8.3777,0.5922,0,0.511,0.5153,0.3661,0.29,0.5516,0,1.9063,1.1024,2.7929,2.7892,0.8985,1.0534,0.8373,3.0088,3.587,1.1851,1.1989,1.2029,3.6412,3.4791,3.8615,3.6065,10.1435,2.0248,2.0561,2.0135,2.0309,2.0183,6.3778,12.549,4.2279,4.108,4.2131,10.4498,2.0672,2.1022,2.0703,2.0973,2.1128,1.4137,1.5831,1.4591,0.0684,0.0123,0.0228,0.0083,1.4398,1.4464,1.58,0.0735,0.016,0.0049,0.0186,0.0088,2.7442,2.6936,0.9601,0.9521,0.7814,3.399,4.4523,1.5,1.5849,1.3675,-440.06,36.8
CIWQIK,83.65,-10.08,183.6,1.96,6.55,6.12,35,23.4,11.5,548.65,-4.5204,-2.9336,1.98,2.3,-0.11,1.09,2.56,2,3.09,2.96,2.54,1.37,1.22,89.77,74.55,89.83,99.66,111.01,126,108.32,124.14,-0.351,0.1491,-0.1402,0.2373,0.0963,0.0859,-0.4496,0.0796,2.3207,3.0723,3.7205,3.1927,3.1705,4.1011,2.0738,29.0361,7.1545,5.7858,25.3147,6.9881,7.4439,5.7691,8.4032,0.5462,0,0.5125,0.5672,0.3632,0.6062,0.2371,0,1.8693,1.0726,2.7922,2.7825,0.9253,1.0762,0.781,3.0099,3.5894,1.1548,1.2289,1.2057,3.6656,3.5609,3.8264,3.5704,10.1249,2.0186,2.0498,2.0128,2.0263,2.0173,6.3718,12.5885,4.2192,4.1531,4.2162,10.3905,2.0694,2.1248,2.048,2.0911,2.0571,1.187,1.1001,1.1725,0.3292,0.0447,0.0722,0.063,1.1529,1.2542,1.3574,0.1498,0.0205,0.035,0.0209,0.0478,2.7433,2.6823,0.9153,0.957,0.81,3.3966,4.4517,1.4585,1.6151,1.3781,-441.45,36.8
DHXANT13,87.05,4.43,189.9,1.77,8.33,8.2,31.8,22.3,14.5,646.43,-3.7633,-2.9882,1.96,1.93,-0.04,-0.02,2.55,2.06,3.26,2.92,2.5,1.35,1.23,86.73,80.4,87.83,104.32,100.59,122.15,109.36,125.36,-0.3369,0.1526,-0.1538,0.284,0.1278,0.0827,-0.4634,0.0587,2.5693,2.9776,3.7239,2.0026,2.0407,3.9848,2.1014,28.9392,7.2624,5.7231,25.2944,8.4392,8.4558,5.675,8.4135,0.5896,0,0.5465,0.467,0.3718,0.4575,0.5949,0,1.8734,1.0324,2.7972,2.7917,0.8955,1.0917,0.8045,3.0129,3.5872,1.1987,1.1863,1.2022,3.6473,3.5834,3.8493,3.4852,10.1348,2.0195,2.0493,2.011,2.0313,2.0238,6.3536,12.597,4.2347,4.1335,4.2288,10.386,2.0908,2.0857,2.0762,2.1237,2.0096,1.3997,1.5899,1.4494,0.0791,0.0183,0.0209,0.0102,1.5236,1.5602,1.4023,0.0761,0.0055,0.0159,0.0252,0.0084,2.7419,2.6921,0.9785,0.9524,0.7611,3.4003,4.4695,1.5479,1.5663,1.3553,-407.63,36.8
DOBPAO,78.19,0.92,180.82,2.24,6.11,5.44,34,23.5,12.1,535.64,-3.9172,-2.5692,2.03,2.18,0.03,-0.07,2.54,2.08,3.11,2.73,2.48,1.36,1.23,87.4,76.69,90.97,99.83,100.74,132.03,108.42,124.14,-0.4068,0.1604,-0.1713,0.3154,0.1494,0.0912,-0.4535,0.0865,2.0351,2.9674,3.6417,2.0698,3.1602,4.0225,2.0307,28.8837,7.2465,5.7312,25.2611,8.3879,7.434,5.7229,8.4123,0.6022,0,0.5158,0.4281,0.3675,0.3716,0.3154,0,1.7888,1.0862,2.791,2.794,0.9025,1.1126,0.7789,3.0112,3.5762,1.2392,1.2087,1.1283,3.62,3.4105,3.8209,3.6738,10.1422,2.0173,2.0562,2.016,2.035,2.0177,6.3629,12.5484,4.2104,4.1337,4.2043,10.4952,2.0751,2.1447,2.1097,2.0537,2.1121,1.4498,1.5668,1.4068,0.0775,0.0231,0.0156,0.0142,1.1757,1.1596,1.417,0.1616,0.0608,0.0311,0.0137,0.0287,2.7411,2.6838,0.9891,0.9158,0.7788,3.3905,4.4506,1.5377,1.5528,1.3601,-443.69,36.8
FAWYIO,109.42,-7.11,208.86,2.52,8.14,8.75,38.4,30.2,19.6,711.08,-3.2729,-2.1278,2.03,1.96,0.04,0.01,2.54,2.23,3.28,3.12,2.42,1.34,1.23,82.34,82.77,89.89,101.01,101.07,120.24,110.11,126.75,-0.4715,0.1619,-0.1985,0.3439,0.1733,-0.0302,-0.4785,0.0304,2.1988,2.8835,3.7107,2.0583,1.8808,4.0571,2.0828,28.9791,7.3221,5.7229,25.2572,8.413,8.6012,5.7018,8.4439,0.6215,0,0.5615,0.3002,0.3784,0.354,0.6319,0,1.8865,1.1141,2.7963,2.8109,0.9006,1.0795,0.8307,3.0152,3.5775,1.2573,1.1762,1.144,3.6026,3.3852,3.8406,3.652,10.1563,2.0204,2.0534,2.0245,2.0377,2.0203,6.3742,12.5803,4.1691,4.1759,4.2353,10.5168,2.0544,2.1772,2.1234,2.0415,2.1201,1.4219,1.5094,1.4726,0.08,0.0209,0.0168,0.014,1.5939,1.6078,1.3825,0.0704,0.0053,0.0191,0.0185,0.0088,2.7431,2.7051,0.945,0.9583,0.8018,3.4051,4.4933,1.5475,1.5471,1.3987,-376.24,36.8
FAYHIX,92.07,3.42,207.58,2.37,8.63,8.81,34.6,29.2,21.7,726.22,-3.4701,-2.261,1.93,1.96,-0.02,-0.02,2.53,2.17,3.2,3.13,2.44,1.35,1.23,83.81,80,88.83,98.84,105.4,119.59,109.5,126.18,-0.4039,0.1519,-0.1831,0.3581,0.1779,0.0576,-0.4748,0.0328,2.4161,2.8603,3.7148,1.9804,2.0189,4.1016,2.0854,29.0092,7.3017,5.7484,25.2271,8.4452,8.501,5.7145,8.4311,0.6491,0,0.5522,0.3551,0.348,0.4867,0.6032,0,1.8996,1.1149,2.7955,2.8027,0.8968,1.0122,0.8936,3.0172,3.5855,1.2359,1.1891,1.1606,3.6081,3.3816,3.8328,3.6492,10.1516,2.025,2.0493,2.0194,2.0386,2.0194,6.3689,12.5892,4.1816,4.1673,4.2403,10.4455,2.05,2.1759,2.1123,2.0346,2.0727,1.4618,1.4734,1.4598,0.0842,0.0218,0.0153,0.0203,1.4808,1.6192,1.4108,0.0732,0.0063,0.0179,0.021,0.0098,2.7432,2.7025,0.963,0.9538,0.7857,3.4058,4.4902,1.5329,1.5797,1.3775,-396.7,36.8
FOVVUI,76.84,1.42,173.44,2.01,8.2,6.28,29.3,20.9,13.4,606.97,-3.7429,-2.4073,2.04,2.29,-0.02,-0.07,2.59,2.05,3.02,2.93,2.45,1.36,1.22,85.67,73.67,91.77,97.58,107.44,127.7,108.57,124.62,-0.3582,0.1586,-0.1935,0.2305,0.1824,-0.029,-0.456,0.0821,1.9021,3.0121,3.699,2.134,3.0183,4.1574,2.1061,28.9713,7.2006,5.7843,25.3286,8.4028,7.3585,5.7856,8.3721,0.4909,0,0.5757,0.5159,0.3888,0.4017,0.3212,0,1.9107,1.0776,2.7885,2.8031,0.8668,1.0511,0.8852,3.0054,3.5805,1.151,1.1714,1.2581,3.6546,3.5989,3.8123,3.5357,10.1512,2.0308,2.0462,2.0223,2.0333,2.0186,6.3735,12.5333,4.1968,4.1327,4.2038,10.4512,2.0641,2.0864,2.1207,2.1089,2.0711,1.3907,1.5834,1.4232,0.0804,0.0192,0.0237,0.0091,1.2011,1.1421,1.425,0.1914,0.0705,0.0219,0.0444,0.0245,2.7447,2.6895,0.9047,0.9483,0.8365,3.3986,4.4468,1.4742,1.5533,1.4194,-453.52,36.8
HABVAJ,84.59,-0.62,219.65,1.74,6.25,18.84,35.5,24.6,13.4,847.23,-3.6628,-2.7353,1.97,2.04,0.02,-0.01,2.53,2.12,3.26,3.14,2.44,1.35,1.23,84.25,81.96,88.46,103.25,103.46,117,109.66,126.44,-0.4413,0.1531,-0.1823,0.3561,0.1095,0.2484,-0.4656,0.0456,2.4706,2.9238,3.7653,2.1174,3.2565,4.0212,2.0999,29.0961,7.2762,5.7262,25.2307,8.4214,7.1463,5.6689,8.428,0.6515,0,0.573,0.3873,0.3956,0.5555,0.5268,0,1.8958,1.0577,2.7947,2.803,0.8983,1.105,0.7998,3.0155,3.5844,1.2165,1.2026,1.1652,3.6072,3.5011,3.8288,3.5347,10.1532,2.0256,2.0554,2.0198,2.0316,2.0208,6.3667,12.6309,4.2126,4.1883,4.23,10.4434,2.0629,2.1205,2.114,2.0695,2.0765,1.4251,1.5722,1.4556,0.0769,0.0166,0.0209,0.0108,1.1267,1.1973,1.2013,0.2546,0.0445,0.0357,0.0758,0.0254,2.7423,2.6963,0.9795,0.9466,0.7703,3.4031,4.4799,1.5622,1.5519,1.3659,-395.02,36.8
HALLOV,84.85,-1.35,197.31,3.78,10.15,8.66,32.6,28,19.4,709.01,-3.3876,-2.2567,2.03,1.99,0.06,-0.04,2.55,2.14,3.25,3.07,2.42,1.35,1.23,83.33,81.46,89.21,102.63,100.69,118.41,109.87,126.45,-0.4279,0.1558,-0.1972,0.3227,0.1791,-0.0718,-0.4721,0.0347,2.2181,2.9109,3.6825,2.0018,1.7447,4.0032,2.0884,29.0069,7.3314,5.7045,25.2836,8.4541,8.6837,5.6618,8.4356,0.604,0,0.5826,0.3941,0.3767,0.4017,0.5858,0,1.8797,1.0622,2.7959,2.8108,0.9068,1.0653,0.8388,3.0115,3.5844,1.1965,1.2056,1.1822,3.6155,3.4883,3.853,3.5438,10.1577,2.0232,2.0641,2.0164,2.03,2.024,6.3634,12.5782,4.195,4.1626,4.2206,10.4861,2.0697,2.176,2.1138,2.0621,2.0645,1.3558,1.6053,1.4286,0.0798,0.0164,0.0277,0.0087,1.653,1.5159,1.4345,0.0683,0.0084,0.0113,0.024,0.008,2.7409,2.7003,0.9773,0.9582,0.7648,3.4035,4.4905,1.5384,1.5862,1.3659,-386.52,36.8
JAKHEI,82.44,0.26,217.48,1.7,9.1,6,33.1,25.4,15.7,634.2,-3.8539,-2.4726,2.02,2.14,0,-0.03,2.6,2.07,3.2,3.2,2.46,1.35,1.23,84.38,78.54,89.28,103.02,112.45,113.86,108.55,125.13,-0.3847,0.1482,-0.1764,0.2879,0.0027,0.1628,-0.4574,0.0595,2.1125,2.9533,3.806,3.2167,2.0552,4.0288,2.0926,29.0305,7.2788,5.7616,25.3023,7.3784,8.3889,5.6853,8.4277,0.5335,0,0.5829,0.4842,0.3456,0.5999,0.2366,0,1.8759,1.0547,2.7933,2.7993,0.9637,1.032,0.8036,3.0122,3.5903,1.213,1.1716,1.2057,3.6462,3.6837,3.701,3.5211,10.1444,2.0289,2.0375,2.032,2.0203,2.0256,6.3847,12.5695,4.1724,4.1728,4.2243,10.4303,2.0844,2.0984,2.115,2.0641,2.0684,1.3036,1.1769,1.3053,0.1495,0.0295,0.0371,0.014,1.4169,1.5695,1.4233,0.0766,0.0097,0.0228,0.0163,0.0125,2.7444,2.6926,0.9808,0.9451,0.7667,3.4042,4.4646,1.5544,1.5472,1.363,-423.51,36.8
KOPHOM,89.31,3.74,195.42,1.7,10.75,7.37,32.7,23.3,18.3,743.81,-3.787,-2.9195,1.93,1.95,-0.01,-0.03,2.56,2.04,3.12,2.95,2.51,1.35,1.23,87.89,76.06,88.61,99.42,107.18,125.17,109.04,125.2,-0.3374,0.1542,-0.1489,0.2458,0.1481,0.0662,-0.4626,0.0643,2.6319,3.0203,3.6688,2.0694,2.0251,4.0986,2.0968,28.9864,7.2094,5.7507,25.3168,8.3663,8.467,5.748,8.3997,0.5814,0,0.5319,0.4928,0.3319,0.4891,0.6068,0,1.8836,1.1039,2.7948,2.787,0.9424,0.9451,0.8996,3.0085,3.5871,1.1445,1.1783,1.2644,3.6558,3.5846,3.8378,3.5228,10.1374,2.0263,2.045,2.0129,2.0291,2.0241,6.3507,12.5985,4.2349,4.1451,4.2185,10.3879,2.0796,2.0708,2.0971,2.1394,2.001,1.3662,1.5844,1.4647,0.0825,0.0186,0.0212,0.0106,1.5197,1.5654,1.4169,0.0733,0.0051,0.0143,0.0254,0.0077,2.7432,2.6934,0.9371,0.9224,0.8339,3.4014,4.4626,1.471,1.5493,1.4422,-426.7,36.8
KUDXOY,63.72,-0.06,195.31,1.91,7.44,7.66,33.1,24.6,15.3,618.8,-3.6454,-2.2323,2.01,2.17,0.04,-0.05,2.54,2.12,3.22,3.11,2.42,1.35,1.23,83.8,80.92,89.45,102.15,102.7,116.91,109.94,126.46,-0.4163,0.1556,-0.1972,0.3667,0.1646,0.1953,-0.4727,0.0378,2.2738,2.9219,3.6785,3.0846,3.0019,4.0429,2.0849,29.1474,7.2692,5.6886,25.2121,7.272,7.2539,5.6965,8.4354,0.6554,0,0.5665,0.3895,0.3631,0.6139,0.398,0,1.8739,1.0798,2.7946,2.8095,0.8981,1.0802,0.8312,3.0093,3.585,1.2269,1.19,1.1681,3.6076,3.439,3.8497,3.5667,10.1514,2.021,2.0596,2.0182,2.0328,2.0196,6.3881,12.5852,4.1936,4.1517,4.2399,10.4428,2.0603,2.1497,2.0999,2.0529,2.0799,1.2262,1.1219,1.2867,0.2405,0.0194,0.0714,0.0229,1.1147,1.1793,1.2733,0.2386,0.0511,0.0201,0.0793,0.022,2.7416,2.7003,0.9726,0.9571,0.7707,3.404,4.4869,1.5523,1.5657,1.3689,-386.84,36.8
LOLLOP,62.39,0.52,158.37,2.43,7.8,10.32,26.7,21.2,15.6,681.33,-3.2215,-2.4848,2.17,2.04,-0.07,0.04,2.51,2.06,3.14,3.01,2.51,1.35,1.23,89.36,77.51,89.33,99.45,107.18,124.1,109.2,125.87,-0.4202,0.1524,-0.1527,0.2662,0.0587,0.0756,-0.4651,0.0517,2.0974,2.9738,3.6823,1.978,2.0039,4.1261,2.0944,29.0438,7.2865,5.7472,25.3174,8.4899,8.4662,5.7435,8.4113,0.6315,0,0.4961,0.463,0.3712,0.3462,0.5113,0,1.9009,1.1002,2.798,2.7935,0.8904,1.0903,0.8128,3.012,3.5855,1.1996,1.1932,1.1927,3.6309,3.5234,3.8591,3.5562,10.146,2.023,2.057,2.0139,2.0304,2.0216,6.3889,12.5497,4.2201,4.1152,4.2144,10.4814,2.0801,2.1425,2.0796,2.0917,2.0873,1.443,1.5848,1.4602,0.0684,0.0108,0.0231,0.0083,1.4486,1.4677,1.5657,0.0715,0.0156,0.0046,0.0191,0.0085,2.745,2.6953,0.9715,0.9567,0.7671,3.4038,4.4734,1.5438,1.5707,1.3589,-411.41,36.8
MEBTUK,81.53,-0.24,217.81,2.71,8.65,7.72,37,28.1,18.9,699.6,-4.0969,-2.7961,2.01,2.15,-0.02,0.03,2.55,2.03,3.1,2.99,2.49,1.37,1.22,87.17,75.99,88.85,99.87,108.69,125.35,108.88,124.8,-0.3699,0.1498,-0.162,0.3019,0.1907,0.1939,-0.4536,0.083,2.3765,3.0413,3.7227,3.0813,2.1394,4.0333,2.1295,29.0619,7.1877,5.7795,25.2715,7.1402,8.3325,5.725,8.3776,0.5785,0,0.5436,0.5392,0.3814,0.5901,0.2984,0,1.9326,1.0422,2.7916,2.7919,0.9769,1.0239,0.7911,3.0101,3.5893,1.1449,1.2689,1.1756,3.6416,3.5803,3.7343,3.584,10.1414,2.0258,2.0481,2.0243,2.0247,2.0185,6.3646,12.5678,4.1844,4.1798,4.2036,10.4373,2.0856,2.0859,2.1248,2.0715,2.0695,1.1937,1.0197,1.2697,0.2869,0.0329,0.0736,0.0277,1.3611,1.552,1.4583,0.0741,0.0065,0.0128,0.0267,0.0086,2.7433,2.6893,0.9564,0.9703,0.7626,3.3976,4.4471,1.4797,1.6325,1.3349,-436.35,36.8
MIFWOQ,81.75,-1.32,177.98,1.87,8.62,10.36,27.9,18.9,13.2,702.16,-3.8804,-2.7378,2.14,1.95,-0.01,0.05,2.51,2,2.99,3.02,2.51,1.36,1.22,89.45,73.22,89,96.01,112.21,125.41,108.9,124.96,-0.41,0.1494,-0.1542,0.2751,0.1589,0.1717,-0.4608,0.0747,2.2306,3.0184,3.6543,2.1023,2.1044,4.1669,2.1084,28.9973,7.2105,5.775,25.2971,8.3619,8.4222,5.7934,8.381,0.6177,0,0.4979,0.5124,0.3618,0.3111,0.527,0,1.9087,1.0957,2.7915,2.7885,0.9019,1.0214,0.8653,3.0088,3.5862,1.1985,1.1916,1.1961,3.6329,3.4418,3.8595,3.6284,10.1445,2.024,2.0532,2.0147,2.0345,2.018,6.3562,12.5894,4.2302,4.1362,4.2229,10.4641,2.0629,2.1048,2.1029,2.0886,2.105,1.3913,1.5796,1.4285,0.0741,0.0177,0.0212,0.0085,1.4022,1.5143,1.4877,0.0829,0.0106,0.0145,0.0266,0.009,2.7449,2.6928,0.979,0.9435,0.7703,3.4,4.453,1.5144,1.575,1.3636,-440.56,36.8
