Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
BAPRAM,72.91,3.39,178.32,1.95,6.99,6.53,31.3,24.5,15.9,604.15,-4.6235,-2.6682,2.3,2.09,-0.39,0.21,2.55,1.97,1.97,1.32,1.24,47.01,70.61,120.58,127.96,111.36,62.38,125.39,-0.3012,-0.2662,0.0983,0.4471,0.1442,0.0924,-0.5027,-0.0368,3.0522,3.4454,3.0985,1.3476,2.0175,3.1876,4.2551,1.9426,29.2791,5.4724,7.1912,25.1921,8.4057,7.312,5.8186,8.5383,0.8254,0.3146,0.7137,0.3141,0.2062,0.3887,0,1.6909,1.3976,2.7717,0.8968,0.958,1.0696,2.9941,1.2502,1.2172,1.1994,3.6145,3.3421,3.6079,3.8288,10.1405,2.0574,2.0215,2.0101,2.0352,2.0163,6.3407,12.5984,4.262,4.2192,4.1172,10.3617,2.0149,2.097,2.0606,2.1507,2.0385,1.4012,1.4133,0.07,0.0211,0.0161,0.0101,1.2021,1.3467,1.2034,0.1652,0.0299,0.0447,0.0219,0.0345,2.7365,2.7161,0.9155,0.8634,0.9372,1.5523,1.4531,1.5551,-131.43,-8.5
ZAPWUK01,87.07,8.93,178.47,3,8.13,8.74,33.7,25.2,16.2,682.92,-4.5901,-2.6918,2.33,2.02,-0.33,-0.11,2.54,2,1.96,1.32,1.24,47.76,70.33,120.53,128.24,111.17,61.91,125.5,-0.3541,-0.2601,0.0866,0.4547,0.1884,0.0961,-0.5184,-0.0088,3.041,3.4674,2.9969,1.3207,2.111,3.1083,4.2927,2.0163,29.2931,5.4657,7.2116,25.1752,8.3483,6.813,5.8312,8.4932,0.7871,0.3316,0.6531,0.3268,0.1723,0.4304,0,1.8337,1.3369,2.7731,0.8739,0.9647,1.084,2.9963,1.239,1.2454,1.1926,3.6108,3.1781,3.7605,3.8382,10.1386,2.0515,2.0205,2.0081,2.0511,2.0075,6.3544,12.6112,4.2758,4.218,4.1173,10.3882,2.1444,2.106,2.0637,2.0346,2.0396,1.417,1.4802,0.0708,0.0188,0.0182,0.0092,1.1028,1.142,1.1962,0.3787,0.081,0.0565,0.0951,0.0657,2.739,2.7229,0.9771,0.8259,0.9198,1.5672,1.453,1.5122,-136.03,-8.4
SECCOV,75.93,1.42,196.44,3.16,9.64,7.05,31.8,27.1,19.6,676.28,-4.541,-2.6424,2.09,2.29,0.2,-0.4,2.55,1.99,1.96,1.32,1.24,47.69,71.09,119.17,129.17,111.65,61.21,125.02,-0.3244,-0.2736,0.0962,0.4677,0.0943,0.2001,-0.5082,-0.0369,2.9808,3.4804,3.0546,1.3542,3.1829,2.0073,4.2459,1.9399,29.2494,5.4835,7.2085,25.1716,7.329,8.4209,5.8151,8.5401,0.7883,0.3584,0.6997,0.3791,0.3772,0.1924,0,1.7023,1.3801,2.7713,0.9032,0.9577,1.068,2.9936,1.2676,1.2319,1.1691,3.6071,3.379,3.6149,3.7698,10.1414,2.0525,2.024,2.0176,2.0351,2.0121,6.3402,12.5967,4.2723,4.2136,4.1108,10.3872,2.0224,2.1072,2.0797,2.1487,2.0291,1.2193,1.3528,0.1647,0.0299,0.0216,0.0274,1.3829,1.4296,1.5586,0.0708,0.019,0.0038,0.0179,0.0088,2.7367,2.7188,0.9575,0.8366,0.9247,1.599,1.4503,1.5118,-115.28,-8
CACTIL,73.69,3.02,171.89,1.93,10.94,10.32,31.2,23.2,15.5,810.95,-4.593,-2.6283,2.33,2.07,-0.41,0.22,2.55,1.98,1.97,1.32,1.24,47.28,70.9,119.51,128.99,111.35,61.82,125.35,-0.3054,-0.2695,0.098,0.4555,0.1484,0.0898,-0.5033,-0.0368,3.0578,3.4313,3.0966,1.3556,2.0245,3.1943,4.2474,1.9422,29.2934,5.4613,7.2037,25.1786,8.4055,7.3016,5.8139,8.5388,0.8209,0.3088,0.7138,0.3313,0.2003,0.4052,0,1.688,1.3947,2.7721,0.9069,0.9462,1.0743,2.9951,1.2566,1.2118,1.1985,3.6134,3.4107,3.5383,3.8224,10.1402,2.0508,2.0195,2.0125,2.0369,2.0205,6.3407,12.5953,4.2624,4.2253,4.1076,10.369,1.9758,2.0964,2.0694,2.1791,2.0484,1.3952,1.4321,0.0689,0.0196,0.0168,0.0088,1.2447,1.3127,1.1956,0.1666,0.0297,0.0394,0.0288,0.0288,2.7365,2.7163,0.9009,0.8831,0.9323,1.5527,1.4592,1.5489,-126.67,-7.8
WADWIJ,74.38,2.5,164.7,2.88,8.5,10.05,30.7,22.8,15.7,737.04,-4.5862,-2.6402,2.31,2.08,-0.38,0.2,2.55,1.98,1.97,1.32,1.24,47.2,70.72,118.71,129.6,111.53,62.08,125.19,-0.3142,-0.2677,0.0976,0.4464,0.1558,0.0929,-0.5055,-0.0357,3.0311,3.4496,3.0884,1.338,2.0168,3.2055,4.2391,1.9415,29.27,5.4727,7.198,25.188,8.4174,7.3137,5.81,8.539,0.8087,0.3336,0.71,0.3317,0.1977,0.396,0,1.6975,1.3812,2.7724,0.8941,0.9544,1.0777,2.994,1.257,1.2171,1.1935,3.6154,3.3537,3.6194,3.8081,10.1377,2.0557,2.0212,2.0128,2.0349,2.013,6.3393,12.6007,4.2727,4.2205,4.1075,10.3739,2.0205,2.1058,2.0793,2.1445,2.0237,1.3988,1.424,0.0695,0.0214,0.0152,0.01,1.2042,1.3657,1.1831,0.1653,0.0298,0.0506,0.0188,0.0311,2.7365,2.7171,0.9406,0.8541,0.9225,1.5753,1.4512,1.5337,-129.65,-7.7
GAXSUV,74.23,2.96,164.65,1.86,6.97,7.06,30.6,21.7,13,605.27,-4.5947,-2.6405,2.32,2.07,-0.41,0.21,2.55,1.98,1.97,1.32,1.24,47.22,70.75,119.16,129.26,111.45,62.02,125.25,-0.3095,-0.268,0.0976,0.4471,0.153,0.0918,-0.5045,-0.0359,3.0408,3.45,3.0933,1.3377,2.0385,3.1998,4.2458,1.942,29.2772,5.47,7.2002,25.1871,8.394,7.3053,5.8126,8.5386,0.8111,0.3265,0.7088,0.3301,0.2022,0.4021,0,1.695,1.3881,2.7723,0.8964,0.9519,1.0782,2.9945,1.2598,1.2133,1.1943,3.6152,3.3693,3.6028,3.8084,10.138,2.0545,2.0208,2.0132,2.0351,2.0144,6.3401,12.5981,4.2719,4.2217,4.1045,10.371,2.0074,2.1055,2.0797,2.1528,2.0255,1.3992,1.4265,0.069,0.0211,0.0154,0.0095,1.2158,1.3545,1.1826,0.1658,0.0298,0.0509,0.0206,0.0284,2.7364,2.7167,0.938,0.8618,0.9169,1.579,1.4522,1.5291,-130.2,-7.5
LAJNEP,80.92,5.61,169.88,4.51,7.65,12.57,26.8,21.1,19.2,842.42,-4.4322,-3.5066,2.03,2.34,0.22,-0.57,2.54,2,1.96,1.32,1.24,48.17,71.18,113.36,134.74,111.83,60.65,124.05,-0.3225,-0.2761,0.0927,0.4776,0.2002,0.257,-0.5153,-0.0064,2.943,3.5674,3.0321,1.3371,2.1648,2.1392,4.1867,2.0108,29.2285,5.5007,7.2145,25.1777,8.3051,8.2935,5.7813,8.5093,0.7288,0.3735,0.7201,0.417,0.465,0.196,0.1098,1.7879,1.3172,2.7701,0.9038,0.9513,1.0737,2.9948,1.2643,1.2654,1.1431,3.5984,3.3277,3.6557,3.7762,10.1437,2.0579,2.0265,2.0151,2.0347,2.0096,6.3422,12.5652,4.2674,4.1873,4.1104,10.4148,2.0668,2.1122,2.0946,2.1285,2.0128,1.3831,1.4661,0.077,0.0105,0.0259,0.0084,1.2569,1.4653,1.5778,0.0725,0.0137,0.0022,0.0249,0.0081,2.7368,2.7218,0.9691,0.8038,0.949,1.5826,1.4479,1.5041,-125.55,-7.5
OZAZEV,76.62,-6.01,212.18,2.42,8.29,8.23,36.5,24.3,14.3,649.35,-4.7976,-3.0412,2.08,2.28,-0.12,0.52,2.54,1.97,1.96,1.31,1.25,46.29,68.23,122.19,125.86,111.38,65.47,125.83,-0.3791,-0.227,0.1165,0.3735,0.258,-0.0475,-0.4927,-0.0183,3.2318,3.3915,3.0855,1.2285,3.2065,2.8946,4.1476,1.9593,29.4021,5.4071,7.1315,25.2469,7.0295,7.3648,5.7614,8.5419,0.8011,0.3395,0.6658,0.2433,0.4349,0.34,0,1.6249,1.3704,2.7748,0.8644,0.9718,1.065,2.9902,1.2617,1.2276,1.1626,3.6309,3.2363,3.7865,3.8316,10.1251,2.0418,2.0229,2.0071,2.046,2.0073,6.3391,12.6517,4.2781,4.2253,4.1483,10.388,2.1396,2.1088,2.0712,2.0254,2.0431,1.1196,1.2475,0.2336,0.0231,0.082,0.0188,1.2487,1.2507,1.2706,0.1893,0.0382,0.0391,0.037,0.0333,2.734,2.7088,0.9795,0.8143,0.9151,1.5795,1.4724,1.4944,-144,-7.5
CATXEA,83.42,2.69,177.85,3.41,7.1,8.96,28.3,22.9,16.9,638.68,-4.8442,-4.514,2.27,1.92,-0.28,0.16,2.52,1.96,1.93,1.33,1.23,45.65,67.18,116.71,130.2,112.96,67.17,125.02,-0.3288,-0.2177,0.1179,0.3745,0.237,0.2862,-0.506,0.0188,3.1339,3.4317,3.0356,1.2285,2.0881,2.2483,4.1978,2.0646,29.3242,5.4442,7.1915,25.2379,8.3268,8.219,5.7819,8.4717,0.8361,0.3156,0.7299,0.2074,0.2738,0.573,0,1.8342,1.2713,2.7736,0.8777,0.9535,1.0638,2.9902,1.2245,1.2574,1.1665,3.6344,3.2827,3.7794,3.799,10.1146,2.0448,2.0232,2.0093,2.0323,2.0049,6.3416,12.6183,4.288,4.2067,4.1235,10.3684,2.1387,2.117,2.0729,2.0207,2.0191,1.2573,1.4616,0.0719,0.0131,0.0254,0.008,1.2851,1.4589,1.549,0.0859,0.0125,0.0074,0.0283,0.0085,2.7351,2.7156,0.9797,0.7946,0.9413,1.5737,1.425,1.5116,-170.63,-7.2
QUCKEF,73.27,4.14,163.48,2.16,9.38,6.78,30.5,21.7,13.3,651,-4.6826,-2.8255,2.35,2.08,-0.45,0.21,2.55,1.98,1.97,1.32,1.24,47,70.27,119.69,128.68,111.39,62.73,125.35,-0.2986,-0.2599,0.0973,0.4413,0.1559,0.0946,-0.5007,-0.0343,3.0409,3.4241,3.1,1.3338,2.0408,3.2034,4.2431,1.9436,29.287,5.4578,7.2005,25.1883,8.3883,7.3146,5.8107,8.5377,0.8317,0.3215,0.7117,0.3023,0.1862,0.404,0,1.6848,1.3918,2.7728,0.9058,0.9328,1.0838,2.9948,1.262,1.1962,1.2095,3.6199,3.4393,3.5292,3.8174,10.1344,2.0463,2.0181,2.0127,2.0356,2.0217,6.3427,12.5938,4.2713,4.224,4.0984,10.3618,1.9599,2.1106,2.0829,2.1718,2.0365,1.3969,1.4421,0.0691,0.0196,0.0167,0.0087,1.2478,1.3265,1.1769,0.1659,0.0303,0.0486,0.0247,0.0234,2.7362,2.7144,0.9244,0.8959,0.8942,1.5814,1.4563,1.521,-138.3,-6.9
KAKTUN,74.6,1.41,163.94,2.15,13.41,9.27,30.7,22.5,16.6,871.61,-4.5365,-2.618,2.3,2.1,-0.38,0.18,2.55,1.99,1.97,1.32,1.24,47.54,71.29,119.27,129.17,111.46,61.16,125.21,-0.314,-0.2754,0.0953,0.4763,0.1547,0.0926,-0.5085,-0.0351,3.0317,3.499,3.0837,1.3642,2.0385,3.1651,4.2354,1.9474,29.2682,5.4746,7.1963,25.173,8.3913,7.3128,5.8094,8.5343,0.7834,0.3474,0.7081,0.3654,0.2142,0.3789,0,1.711,1.3751,2.7713,0.915,0.9314,1.0835,2.9947,1.258,1.2148,1.1967,3.6068,3.4487,3.4667,3.8382,10.1432,2.0487,2.0185,2.0115,2.0383,2.0261,6.3401,12.5929,4.2581,4.2222,4.1126,10.3807,1.9608,2.1007,2.0745,2.1838,2.0608,1.3835,1.4361,0.0693,0.0179,0.0183,0.0084,1.2404,1.3244,1.1891,0.1595,0.0294,0.0332,0.0251,0.0311,2.737,2.719,0.8955,0.887,0.9365,1.5456,1.4639,1.55,-123.27,-6.8
YICGUM,99.72,4.89,195.83,3.64,10.3,9.01,36.4,28.5,18.2,711.87,-4.879,-3.0244,2.19,1.95,-0.05,0.02,2.57,1.94,2.08,1.28,1.3,45.04,69.07,141.1,107.39,109.93,65.89,128.64,-0.342,-0.2328,0.1671,0.3449,0.1324,0.101,-0.404,0.1583,3.0853,3.3579,3.0389,1.2099,1.9705,2.0738,4.0847,2.1198,29.1533,5.431,7.1619,25.2397,8.4803,8.3541,5.7892,8.3646,0.7859,0.3806,0.5357,0.2448,0.2654,0.5462,0,1.3183,1.5295,2.775,0.878,0.9912,1.0405,2.9993,1.2975,1.1659,1.1348,3.6493,3.2894,3.7944,3.7904,10.1169,2.0322,2.034,2.0077,2.033,2.0099,6.3283,12.6158,4.2417,4.1993,4.1748,10.3976,2.1583,2.1178,1.983,2.0443,2.0942,1.478,1.4256,0.0738,0.0188,0.0211,0.0084,1.5146,1.4333,1.5341,0.0734,0.0206,0.006,0.0184,0.0098,2.728,2.6904,1.0089,0.8025,0.879,1.4815,1.535,1.443,-138.4,-6.7
DAFKIF,80.76,4.34,185.1,3.28,11.07,10.24,34.4,30.9,22.6,803.81,-3.7968,-2.0189,2.16,2.03,-0.27,-0.15,2.6,2.19,1.97,1.32,1.24,53.56,72.37,120.72,127.67,111.61,54.07,125.49,-0.359,-0.3032,0.0969,0.5336,0.2085,0.1036,-0.5309,-0.0379,2.7929,3.5664,3.0008,1.3783,2.0616,1.8829,3.9425,1.9978,29.1685,5.5531,7.3208,25.1371,8.3801,8.454,5.6816,8.5431,0.5865,0.2537,0.7539,0.594,0.3126,0.4383,0,1.7173,1.2175,2.7744,0.9433,0.9528,1.0532,2.9928,1.2785,1.2562,1.1329,3.569,3.448,3.6051,3.6494,10.1697,2.0533,2.0343,2.0305,2.037,2.0146,6.3466,12.5745,4.246,4.1879,4.1407,10.4375,2.0766,2.117,2.089,2.1154,2.0395,1.3191,1.4498,0.0755,0.0131,0.0272,0.0084,1.5103,1.3755,1.5312,0.072,0.0129,0.0081,0.0208,0.0098,2.7409,2.7375,0.9529,0.824,0.9606,1.5931,1.4727,1.4931,-131.4,-6.4
RUJKIT,72.71,2.7,164.17,2.54,6.25,6.77,30.7,22.1,13.2,582.46,-4.4715,-2.5373,2.29,2.06,-0.34,0.16,2.56,1.98,1.97,1.32,1.24,47.44,71.56,119.09,129.42,111.44,61,125.31,-0.3092,-0.2785,0.0982,0.4586,0.1472,0.0896,-0.5063,-0.038,3.033,3.4545,3.0877,1.3492,2.0202,3.1974,4.2565,1.942,29.2727,5.4724,7.1996,25.1806,8.4094,7.3057,5.8191,8.5393,0.7864,0.3254,0.7066,0.3624,0.2114,0.4116,0,1.6999,1.3951,2.7719,0.8994,0.9536,1.0796,2.9947,1.2612,1.2098,1.1957,3.6098,3.3808,3.5744,3.8131,10.1432,2.0554,2.0208,2.0138,2.0365,2.0166,6.3368,12.5985,4.2667,4.2245,4.1073,10.3735,1.992,2.1024,2.0814,2.1661,2.0316,1.4091,1.4242,0.0697,0.021,0.0156,0.0096,1.2148,1.3526,1.1846,0.1672,0.03,0.0504,0.021,0.0286,2.7367,2.7182,0.9318,0.8676,0.9188,1.576,1.4539,1.5319,-118.92,-6.4
KECZEZ,75.41,4.18,163.9,2.45,10.58,9.3,30.6,20.1,14.2,859.36,-4.7398,-2.9385,2.29,2.16,-0.39,0.21,2.54,1.98,1.96,1.32,1.24,46.92,69.8,120.05,128.33,111.42,63.28,125.23,-0.3163,-0.2488,0.0932,0.4577,0.1393,0.1186,-0.5032,-0.0317,3.0747,3.4419,3.1018,1.3525,2.0451,3.2022,4.2192,1.9439,29.2931,5.4592,7.1857,25.1706,8.3893,7.3119,5.8007,8.5352,0.8379,0.3507,0.7294,0.3112,0.2343,0.315,0,1.6926,1.3719,2.7712,0.9133,0.9214,1.079,2.9945,1.2568,1.2144,1.2005,3.6204,3.4388,3.4996,3.8353,10.1301,2.0443,2.0178,2.0105,2.0358,2.0217,6.3443,12.5892,4.2656,4.2116,4.112,10.3824,1.9677,2.1063,2.0682,2.1818,2.0585,1.4096,1.4269,0.0683,0.0204,0.0151,0.0095,1.2505,1.3046,1.1835,0.1562,0.0284,0.0335,0.0291,0.0261,2.7367,2.7151,0.8956,0.8879,0.9316,1.5464,1.4609,1.5496,-142.23,-6.3
TASQEK,85.12,1.34,176.62,2.7,7.95,9.59,28.3,20.3,17.1,711.61,-4.9389,-2.9095,2.34,1.96,-0.54,0.35,2.53,1.92,2.06,1.28,1.31,45.51,69.74,119.04,130.7,110.23,64.74,127.51,-0.2845,-0.2639,0.1804,0.4206,0.2009,0.0878,-0.356,0.2931,2.9952,3.437,3.1582,1.2589,2.0753,2.018,4.298,2.0968,29.2615,5.4883,7.0432,25.2085,8.3408,8.4469,5.8859,8.2926,0.8673,0.3595,0.5195,0.2103,0.1879,0.6538,0,1.232,1.6738,2.7703,0.8708,0.9911,1.0656,2.9925,1.2747,1.1597,1.151,3.6237,3.2111,3.7755,3.8275,10.1239,2.0483,2.0271,2.0059,2.0373,2.0052,6.3341,12.5833,4.2638,4.181,4.1385,10.3667,2.1213,2.1043,2.0165,2.0833,2.0413,1.3439,1.4735,0.0718,0.0107,0.0264,0.0084,1.5338,1.4191,1.5286,0.0754,0.0156,0.0098,0.0236,0.0093,2.7205,2.673,0.9721,0.9102,0.7907,1.3056,1.478,1.5446,-116.5,-6.3
OSIBUP,82.51,17.15,212.88,1.7,8.81,6.79,33.7,29.3,20.6,682.06,-4.7034,-3.1582,2.28,2.09,-0.41,-0.12,2.5,1.96,1.99,1.31,1.25,45.8,65.69,94.05,154.62,111.33,68.51,120.81,-0.4006,-0.1946,0.1189,0.3642,0.2083,0.1989,-0.5019,0.066,3.0126,3.5103,2.8421,1.243,2.0896,2.07,3.9476,1.8897,29.1631,5.4659,7.2366,25.2125,8.3411,8.3559,5.7035,8.4946,0.8648,0.4029,0.5136,0.2029,0.1969,0.2862,0.2639,1.4894,1.2927,2.7734,0.9179,0.9572,1.0066,2.994,1.2615,1.2128,1.173,3.6286,3.4006,3.7878,3.694,10.1094,2.0285,2.0325,2.013,2.0248,2.0107,6.3355,12.6031,4.2334,4.2044,4.1653,10.4616,2.1674,2.164,2.0335,2.0373,2.0593,1.3684,1.5091,0.073,0.0156,0.0202,0.0094,1.4524,1.4308,1.5116,0.073,0.0247,0.0067,0.0138,0.012,2.7262,2.7063,0.9745,0.8063,0.9255,1.5088,1.4481,1.5263,-149.4,-6.2
SUCLUA,72.35,4.28,183.64,1.92,12.58,8.66,31.1,23.7,15.6,761.56,-4.682,-2.8546,2.26,2.1,-0.38,0.15,2.54,1.97,1.96,1.32,1.24,46.7,69.42,118.69,129.37,111.67,63.88,125.1,-0.3162,-0.2494,0.0985,0.4227,0.1803,0.1009,-0.5047,-0.0337,3.0939,3.3978,3.0887,1.3187,1.985,3.2003,4.2374,1.9441,29.2796,5.4638,7.1902,25.204,8.3991,7.2999,5.8086,8.5376,0.8399,0.3291,0.7182,0.2783,0.231,0.3697,0,1.7039,1.3722,2.7732,0.9041,0.9467,1.0645,2.9926,1.2465,1.2339,1.1867,3.6244,3.4156,3.5695,3.8198,10.1301,2.0466,2.0198,2.0129,2.0343,2.0165,6.3408,12.6073,4.2653,4.2223,4.1197,10.3677,1.9868,2.1012,2.0437,2.17,2.0659,1.345,1.4178,0.0726,0.0192,0.0216,0.0085,1.2285,1.3029,1.2131,0.1659,0.0283,0.0302,0.0316,0.0371,2.7362,2.7161,0.8879,0.8751,0.9531,1.5301,1.4675,1.5609,-147.16,-6.2
WUDPUJ,78.53,16.02,166.76,1.88,7.94,7.78,28.5,21.6,14.9,629.85,-4.6761,-3.1248,2.37,2.04,-0.39,-0.01,2.49,1.93,2.06,1.31,1.26,45.1,65.98,89.74,159.13,110.75,68.92,120.24,-0.4108,-0.2076,0.1188,0.3708,0.2201,0.2603,-0.5002,0.0593,3.092,3.494,2.6971,1.2345,2.1246,2.1808,4.0793,1.982,29.1991,5.4635,7.2407,25.229,8.2789,8.2213,5.7806,8.4382,0.8854,0.4205,0.4112,0.171,0.1524,0.385,0.3801,1.5505,1.2617,2.771,0.9056,0.9651,1.0171,3.0035,1.2564,1.2163,1.1705,3.6246,3.3721,3.78,3.723,10.1131,2.0291,2.0338,2.0116,2.0274,2.0112,6.3315,12.6114,4.2293,4.2082,4.1739,10.4675,2.1609,2.1743,2.018,2.0523,2.062,1.3321,1.4342,0.0722,0.0197,0.0197,0.0087,1.3679,1.3905,1.5696,0.0793,0.0205,0.007,0.0218,0.0093,2.7289,2.7079,0.973,0.796,0.9388,1.4845,1.459,1.5475,-139.47,-6
XIRHUD,74.14,3.59,164.4,2.16,6.41,7.1,30.5,20.4,11,548.59,-4.6309,-2.694,2.33,2.07,-0.39,0.19,2.55,1.98,1.97,1.32,1.24,47.07,70.44,118.96,129.39,111.48,62.49,125.22,-0.31,-0.2636,0.0979,0.4396,0.1445,0.0936,-0.5041,-0.0351,3.0444,3.4246,3.0946,1.3319,2.0543,3.1997,4.2416,1.9423,29.2826,5.4588,7.1956,25.1907,8.3626,7.3016,5.81,8.5382,0.8242,0.3372,0.7095,0.3056,0.1948,0.4001,0,1.6961,1.3841,2.7726,0.8962,0.9534,1.0745,2.994,1.2597,1.2166,1.1909,3.6184,3.3696,3.6232,3.7948,10.1356,2.053,2.0212,2.0144,2.0341,2.0129,6.3411,12.5992,4.2741,4.2212,4.1039,10.3693,2.0172,2.1089,2.0803,2.1419,2.021,1.4025,1.4215,0.0687,0.0214,0.0151,0.0096,1.211,1.3581,1.1825,0.1654,0.0302,0.0526,0.0196,0.0281,2.7363,2.7162,0.9442,0.8558,0.9162,1.5838,1.4513,1.5246,-134.4,-5.9
ZEJDOK,104.6,20.33,195.91,1.7,8.77,7.21,32.5,23.4,16.5,675.13,-4.6173,-3.7549,2.33,1.97,-0.49,-0.01,2.52,1.97,1.97,1.32,1.24,46.65,68.91,115.28,132.7,111.62,64.44,124.65,-0.3308,-0.2399,0.1077,0.4133,0.2151,0.2511,-0.5113,0.0066,3.0416,3.4268,2.9679,1.2758,2.1059,2.1693,4.1682,2.0464,29.2189,5.4355,7.2867,25.2095,8.3337,8.295,5.7612,8.4845,0.8421,0.322,0.6758,0.2529,0.2128,0.5081,0,1.8235,1.2486,2.7713,0.8924,0.9522,1.063,2.9936,1.2653,1.2541,1.1402,3.622,3.2784,3.7668,3.7781,10.124,2.0394,2.0278,2.01,2.0383,2.0084,6.3419,12.6002,4.2576,4.205,4.1375,10.3884,2.1389,2.1255,2.0639,2.0171,2.043,1.3122,1.4454,0.0705,0.0173,0.0205,0.008,1.3296,1.4036,1.605,0.0802,0.0213,0.0055,0.0243,0.0085,2.7368,2.7187,0.9749,0.7858,0.958,1.5897,1.4267,1.5042,-155.54,-5.9
ZUNVUC,81.36,4.58,170.08,3.99,9.94,10.59,27.3,22.4,20,829.71,-4.2249,-2.9662,2.05,2.33,0.19,-0.52,2.57,2.03,1.96,1.32,1.24,48.92,72.84,112.82,135.42,111.62,58.23,124.21,-0.3153,-0.2953,0.093,0.4915,0.1751,0.2394,-0.5172,-0.0114,2.8802,3.6016,3.0285,1.3389,2.0937,2.1247,4.1817,2.0032,29.2029,5.5388,7.233,25.1646,8.3867,8.313,5.7829,8.5142,0.668,0.369,0.7267,0.5029,0.463,0.2035,0.1142,1.7743,1.3248,2.7696,0.9014,0.9564,1.0835,2.9949,1.2656,1.2572,1.149,3.5904,3.2646,3.6734,3.807,10.1509,2.0644,2.0265,2.0116,2.0402,2.0082,6.3373,12.552,4.2627,4.1835,4.1058,10.4257,2.1004,2.1047,2.0882,2.1149,2.0175,1.4041,1.4619,0.0762,0.0108,0.0246,0.0086,1.2667,1.466,1.589,0.0728,0.0127,0.0022,0.0259,0.008,2.7371,2.7239,0.9735,0.801,0.9494,1.5771,1.4454,1.5165,-85.55,-5.8
JODKUJ,94.79,-6.72,259.73,3.69,7.77,8.09,42.4,36.6,25.6,794.49,-4.6726,-2.6702,1.93,2.3,-0.08,-0.55,2.53,1.94,2.08,1.28,1.32,45.97,70.08,125.88,121.1,109.93,63.95,122.19,-0.3811,-0.2644,0.1934,0.4171,0.0825,0.2208,-0.3715,0.1816,3.0761,3.4025,3.1117,1.26,1.9208,2.0705,4.1195,2.1253,29.1492,5.4393,7.1067,25.2233,8.4206,8.3755,5.7993,8.3798,0.7894,0.3599,0.5169,0.3103,0.5325,0.1824,0,1.2058,1.6133,2.7708,0.9269,0.9388,1.059,2.9931,1.2979,1.1429,1.1343,3.6105,3.4365,3.6105,3.7708,10.1361,2.0492,2.0227,2.0157,2.0292,2.0193,6.3258,12.5912,4.2443,4.2179,4.129,10.4636,2.0181,2.1669,2.0833,2.144,2.0514,1.6353,1.4111,0.0737,0.0105,0.0225,0.0094,1.2882,1.5646,1.5068,0.0714,0.0059,0.0085,0.0236,0.0076,2.7291,2.6822,1.0161,0.8035,0.8626,1.4734,1.5938,1.3676,-116.5,-5.6
