Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
POBDAL,87.49,-0.06,191.14,2.1,8.85,7.86,29,18.5,12.6,644.13,-5.7958,-3.6976,2.19,1.8,0.14,0.02,2.47,1.9,3.05,2.91,2.6,1.36,1.22,93.65,73.97,84.87,98.37,112,126.93,109.58,124.19,-0.3537,0.1349,-0.0882,0.3192,0.1462,0.2067,-0.4566,0.0747,2.5156,3.0596,3.6817,2.0547,2.2089,4.2115,2.1099,28.886,7.146,5.6973,25.258,8.4066,8.3571,5.8171,8.3903,0.6214,0,0.4692,0.5658,0.3533,0.3047,0.6935,0,1.9559,1.123,2.7856,2.7515,0.8794,0.9421,0.93,2.9959,3.6118,1.1843,1.215,1.2125,3.6352,3.534,3.7412,3.6418,10.1133,2.0203,2.0261,2.0188,2.0283,2.0199,6.3337,12.626,4.2026,4.1939,4.2295,10.3936,2.0874,2.0588,2.0729,2.066,2.1086,1.561,1.3894,1.4509,0.0707,0.0241,0.0152,0.0101,1.5667,1.3502,1.4472,0.0943,0.0089,0.0265,0.0259,0.012,2.7392,2.6761,0.9725,0.9134,0.7902,3.3914,4.461,1.4837,1.5505,1.4268,-402.22,23.6
DABTAB,91.91,-3.72,252.83,3.19,9.62,7.27,40,35.6,23.9,835.67,-5.1385,-1.4227,2.08,2.11,-0.01,0.01,2.53,3.19,3.24,1.98,2.34,1.3,1.27,63.24,83.35,89.94,73.46,63.33,170.49,111.43,128.43,-0.4828,0.1657,-0.2362,0.4886,0.1623,0.1948,-0.4429,0.0711,1.9551,3.0181,3.7202,3.0399,2.144,4.1052,2.0016,28.9128,7.1887,5.6496,25.1876,7.1078,8.394,5.7411,8.5088,0.5946,0,0.6128,0,0.4005,0.3824,0.3019,0.4348,1.4779,1.4924,2.7801,2.806,0.8941,0.8363,1.0756,2.9986,3.5912,1.2623,1.1806,1.1482,3.5785,3.5081,3.6426,3.6025,10.1583,2.0357,2.0378,2.0275,2.0369,2.0204,6.3213,12.5817,4.2177,4.1508,4.2132,10.5796,2.0917,2.1546,2.131,2.1033,2.0991,1.1559,1.0406,1.3029,0.2784,0.0341,0.0607,0.0327,1.3708,1.5728,1.4453,0.0743,0.0022,0.0153,0.022,0.0091,2.7254,2.683,0.9474,0.7956,0.94,3.342,4.507,1.5484,1.493,1.4656,-372.2,23.7
LENQEA,76.08,-4.24,206.72,3.59,12.83,6.39,41.9,34,20.4,802.43,-5.2534,-2.9543,2.17,2.08,-0.03,0.17,2.53,3.23,3.27,1.99,2.31,1.3,1.26,61.64,84.85,89.56,73.51,62.83,170.81,111.47,127.97,-0.4717,0.1615,-0.251,0.5641,0.13,0.2012,-0.4419,0.0847,2.0203,3.0159,3.7258,2.9242,3.1711,4.1476,2.0207,28.9168,7.1984,5.6336,25.1318,7.159,7.1431,5.7536,8.483,0.635,0,0.6234,0,0.3935,0.2405,0.4167,0.4186,1.5216,1.4838,2.7779,2.814,0.8624,0.9707,0.9809,3.0005,3.5933,1.2188,1.2159,1.1586,3.5493,3.6384,3.5984,3.463,10.1646,2.0259,2.0341,2.0411,2.0395,2.024,6.3397,12.5635,4.2018,4.1668,4.1949,10.5683,2.0758,2.1168,2.1824,2.1096,2.0837,1.2421,1.1427,1.1407,0.3143,0.0233,0.0978,0.0411,1.1441,1.2599,1.1723,0.2331,0.0421,0.0382,0.0594,0.0294,2.7239,2.6797,0.9777,0.7809,0.9211,3.3367,4.4985,1.5355,1.4775,1.4855,-380.46,23.8
JADSAJ,90.53,10.52,186.47,1.84,7.86,10.57,31.6,22.1,13.5,674.7,-5.3736,-1.9662,2.13,1.97,-0.13,0.01,2.54,2.01,3.03,2.93,2.51,1.36,1.23,89.89,73.67,89.89,96.78,109.11,128.34,108.88,124.45,-0.4006,0.149,-0.1405,0.2422,0.1859,0.205,-0.4536,0.0615,1.9084,2.9911,3.6851,2.1026,2.1531,4.1427,2.0925,28.9243,7.1784,5.6778,25.3453,8.332,8.3242,5.7813,8.4055,0.5035,0,0.5362,0.5233,0.3736,0.238,0.4126,0,1.935,1.1105,2.7827,2.7736,0.9195,0.9618,0.8923,2.9992,3.6006,1.1227,1.1664,1.3116,3.6517,3.6498,3.8474,3.4666,10.1267,2.0231,2.0307,2.0158,2.0338,2.0233,6.3208,12.538,4.226,4.1137,4.1983,10.5415,2.1103,2.093,2.0889,2.1684,2.0809,1.4214,1.4936,1.4707,0.0754,0.0179,0.0188,0.0095,1.4223,1.5331,1.4282,0.0798,0.0049,0.0159,0.0287,0.0094,2.741,2.6752,0.851,0.9211,0.9031,3.3948,4.4715,1.4194,1.539,1.5131,-441.07,23.9
BVXIPO,79.96,4.74,225.87,3.3,8.75,9.95,41.6,35.1,27.5,825.13,-5.614,-3.2305,2.29,1.88,-0.33,0.09,2.51,1.93,3.08,3.1,2.54,1.37,1.22,89.81,74.91,85.36,99.66,114.87,120.04,109.73,125.03,-0.3778,0.133,-0.1131,0.3256,0.148,0.1719,-0.4503,0.069,2.6023,3.0693,3.7254,2.0312,3.1539,4.0394,2.132,29.0218,7.1209,5.6902,25.2534,8.413,6.9467,5.7267,8.3988,0.5882,0,0.5281,0.5962,0.3713,0.2392,0.7548,0,1.9727,1.0617,2.7834,2.7611,0.9179,1.0961,0.7471,2.9944,3.6185,1.1754,1.2539,1.1892,3.6406,3.5374,3.7908,3.5718,10.1191,2.0214,2.041,2.0145,2.028,2.0143,6.3373,12.6047,4.2374,4.183,4.1843,10.4354,2.0431,2.0622,2.1305,2.1292,2.0704,1.3848,1.5334,1.4838,0.0703,0.0115,0.0239,0.0085,1.1681,0.985,1.2669,0.3378,0.0559,0.0463,0.0921,0.0353,2.7392,2.6757,0.9696,0.9506,0.7555,3.3928,4.4654,1.5013,1.612,1.3521,-414.48,24.3
VIGPOQ,80.78,92.2,217.95,2.14,5.33,6.05,40.8,24.2,11.2,543.16,-5.763,-3.988,1.99,2.29,-0.24,-0.49,2.55,2.08,3.22,2.83,2.3,1.42,1.21,77.68,83.2,88.07,108.52,101.3,122.79,106.52,122.26,-0.2206,0.194,-0.2606,0.8027,0.1354,0.0813,-0.4022,0.1517,2.6328,2.9365,3.8109,2.0844,2.0056,4.0921,2.192,28.8076,7.1461,5.6431,24.8094,8.3899,8.4358,5.7734,8.2927,0.5647,0,0.7921,0.5016,0.4721,0.5058,0.2008,0,2.0853,0.8698,2.7849,2.8628,1.0065,1.01,0.8462,3.0396,3.5152,1.158,1.3031,1.0541,3.5588,3.6137,3.5636,3.1502,10.2815,2.0465,2.0798,2.0926,2.0297,2.0329,6.3343,12.5445,4.1595,4.1678,4.2172,10.3415,2.1068,2.0602,2.0203,2.0522,2.1019,1.467,1.4345,1.5435,0.0731,0.0147,0.0072,0.0235,1.4916,1.4262,1.5491,0.0674,0.0147,0.0188,0.0018,0.0307,2.7468,2.6447,0.9356,0.9678,0.7413,3.3832,4.3899,1.4637,1.624,1.3021,-555.55,24.4
YOLNUK,93.9,0.31,192.71,3.23,9.41,8.28,36.5,29.6,20.7,701.61,-5.3748,-1.8843,2.01,2.01,-0.28,0.39,2.54,2.06,3.01,2.92,2.51,1.36,1.22,88.67,73.13,90.4,95.22,108.08,130.38,108.63,124.56,-0.463,0.1576,-0.1455,0.2664,0.2168,0.2153,-0.4524,0.0646,1.915,2.9118,3.6183,1.9948,2.1235,4.1868,2.0883,28.8694,7.2049,5.6649,25.3419,8.4,8.3358,5.7972,8.4,0.535,0,0.5126,0.4338,0.3922,0.2953,0.394,0,1.9373,1.1293,2.7812,2.7732,0.8947,1.0018,0.8768,3.0028,3.5902,1.2062,1.1675,1.2166,3.6238,3.4921,3.8196,3.6537,10.1285,2.0326,2.0419,2.0158,2.0252,2.013,6.3194,12.5572,4.215,4.1345,4.2078,10.5862,2.0654,2.1818,2.1352,2.0916,2.1121,1.4225,1.3807,1.5639,0.0828,0.0186,0.0154,0.015,1.3637,1.5699,1.4479,0.0771,0.0035,0.0151,0.0277,0.0092,2.7415,2.6761,0.9681,0.9486,0.7595,3.395,4.4681,1.5286,1.5544,1.3851,-444.99,24.7
REWHOR,83.14,4.54,178.45,2.19,4.69,7.69,29.5,19.1,10.4,544.36,-5.5443,-2.6691,2.35,1.89,-0.31,0.14,2.52,1.96,3.05,2.94,2.55,1.36,1.22,90.89,73.9,87.96,98.57,110.9,126.7,109.01,124.47,-0.3859,0.1404,-0.122,0.2503,0.1959,0.1146,-0.4537,0.0678,2.1387,3.0096,3.6835,2.1145,3.2342,4.1744,2.1008,28.9899,7.1773,5.6867,25.3377,8.3237,6.9851,5.7981,8.3986,0.5239,0,0.5038,0.5326,0.3746,0.1764,0.6621,0,1.9391,1.1127,2.7833,2.766,0.8988,1.0179,0.8493,2.9985,3.6068,1.1946,1.1767,1.2356,3.6438,3.5073,3.8603,3.6051,10.1184,2.0204,2.0442,2.0099,2.0289,2.0151,6.3511,12.5821,4.2371,4.0967,4.2482,10.4524,2.0719,2.0935,2.0777,2.11,2.0994,1.2976,1.5954,1.4606,0.0703,0.0142,0.0224,0.008,1.0993,1.1287,1.2935,0.312,0.0515,0.0446,0.0975,0.0305,2.7407,2.6747,0.9612,0.9363,0.7771,3.3934,4.4664,1.504,1.5577,1.4047,-429.05,24.8
PAPFEU,100.59,32.77,205.78,1.73,9.28,10.1,40.6,33.1,23.7,796.44,-5.2753,-1.9108,1.98,2.06,-0.1,-0.1,2.53,2.12,3.2,2.86,2.5,1.36,1.23,86.86,79.11,89.83,101.07,103.1,128.67,108.18,124.64,-0.473,0.1533,-0.1499,0.3107,0.18,0.1739,-0.4575,0.0825,1.8276,2.8496,3.7347,2.1007,2.082,4.0658,2.0816,28.8586,7.2544,5.6766,25.2989,8.412,8.3952,5.7349,8.4168,0.5374,0,0.5459,0.3662,0.4033,0.3751,0.3119,0,1.8897,1.0879,2.7842,2.7778,0.8811,1.0898,0.8068,3.0092,3.5933,1.3078,1.1538,1.1317,3.612,3.3763,3.8018,3.7545,10.1285,2.0162,2.0271,2.0193,2.0451,2.0209,6.3216,12.5373,4.179,4.1677,4.1905,10.6139,2.0876,2.1107,2.1668,2.102,2.1468,1.4164,1.5134,1.4766,0.0811,0.0207,0.0162,0.0138,1.4358,1.5648,1.4039,0.0776,0.0118,0.0232,0.0154,0.0128,2.7394,2.6737,0.9586,0.9085,0.8066,3.3858,4.459,1.5401,1.4936,1.4254,-428.72,25.2
VIQWOI,85.03,1.18,201.8,3.84,9.54,8.77,36.3,30,20.3,716.89,-5.4652,-2.9746,2.1,1.95,-0.24,0.17,2.52,1.96,3,2.87,2.53,1.36,1.22,90.56,73.04,88.56,97.04,108.9,128.9,109.06,124.05,-0.414,0.1476,-0.1307,0.2827,0.2211,0.2836,-0.4532,0.075,2.3052,2.984,3.6466,2.1375,3.1851,4.2214,2.0979,29.0079,7.137,5.6657,25.3128,8.3592,7.051,5.8272,8.3925,0.5298,0,0.5121,0.4985,0.376,0.339,0.6429,0,1.945,1.1301,2.7816,2.768,0.8938,1.0308,0.8433,2.9966,3.6003,1.1892,1.1805,1.2305,3.632,3.5021,3.8471,3.5936,10.1268,2.0257,2.0453,2.0126,2.028,2.0153,6.3238,12.5974,4.239,4.1287,4.2297,10.4925,2.0821,2.0713,2.104,2.1177,2.1173,1.3209,1.5755,1.4522,0.0762,0.0147,0.0253,0.0084,1.0527,1.1333,1.3204,0.2577,0.0515,0.0257,0.078,0.0209,2.7396,2.6751,0.9502,0.9473,0.7776,3.3919,4.4603,1.4959,1.5713,1.3931,-440.43,25.2
LAQXUX,93.67,1.1,195.61,3.49,6.55,8.59,35.3,29.4,20.8,677.07,-5.165,-2.036,1.94,1.98,-0.11,0.01,2.56,3.22,3.35,1.94,2.35,1.3,1.27,62.17,85.89,89.21,76.15,61.5,167.67,111.48,128.42,-0.4169,0.1637,-0.2384,0.4227,0.2296,0.2198,-0.4364,0.0742,2.0046,3.0242,3.7256,2.128,2.0943,4.0303,2.0188,28.8463,7.2015,5.6445,25.2106,8.3226,8.3447,5.6948,8.5168,0.5287,0,0.6274,0,0.4002,0.4134,0.3225,0.505,1.4186,1.4841,2.7815,2.8078,0.8121,0.974,1.0217,2.9997,3.5924,1.1901,1.2596,1.1426,3.6076,3.7985,3.4842,3.5107,10.1567,2.0258,2.0285,2.0537,2.0268,2.0219,6.3007,12.6013,4.1985,4.1958,4.207,10.5147,2.1267,2.1057,2.1253,2.0774,2.0795,1.3115,1.6274,1.4256,0.0844,0.0213,0.0261,0.009,1.587,1.3073,1.4737,0.0818,0.006,0.0256,0.0161,0.0135,2.7241,2.6782,0.9629,0.7898,0.9255,3.335,4.5092,1.5957,1.4975,1.416,-375.54,25.3
XOXZES,97.22,-9.34,195.08,4.68,8.4,8.96,38.8,34.6,25.7,767.59,-5.2883,-1.9147,2.08,1.95,-0.11,0.1,2.52,2.08,3.04,3.11,2.46,1.36,1.23,87.06,75.05,90.3,95.8,111.55,122.85,109.28,125.2,-0.4718,0.1559,-0.1631,0.3213,0.2032,0.2032,-0.4547,0.0448,1.9223,2.8974,3.6507,2.0264,2.1493,4.1464,2.0926,28.8992,7.2091,5.6501,25.299,8.4219,8.3999,5.7641,8.4202,0.5497,0,0.5481,0.4159,0.3935,0.2903,0.4614,0,1.9453,1.1129,2.7813,2.7814,0.8943,1.0178,0.8693,3.0025,3.5939,1.2058,1.1918,1.1964,3.61,3.4173,3.8583,3.6404,10.1355,2.0213,2.0481,2.0139,2.0358,2.0165,6.3228,12.5644,4.2044,4.1458,4.2142,10.5843,2.0642,2.1912,2.1252,2.0819,2.1218,1.4591,1.4635,1.4563,0.0768,0.0179,0.0207,0.0094,1.3669,1.5816,1.4402,0.0813,0.0059,0.0174,0.026,0.0092,2.7424,2.6769,0.9882,0.9507,0.7381,3.3985,4.4848,1.5276,1.5892,1.368,-433.25,25.3
JOYJUF,97.18,5.2,193.39,3.18,7.32,10.97,30,19,13.5,761.41,-5.2569,-2.9841,2.22,1.9,-0.21,0.05,2.49,1.97,3.04,2.97,2.56,1.36,1.22,92.15,74.04,87.69,97.02,112.01,126.76,109.03,124.58,-0.4613,0.1408,-0.114,0.248,0.1808,0.2058,-0.4574,0.0615,1.9262,2.9645,3.6689,2.1225,2.2109,4.1735,2.1003,28.9203,7.1955,5.6868,25.3525,8.3518,8.3278,5.7914,8.4075,0.5695,0,0.4866,0.4956,0.3651,0.1986,0.4788,0,1.9458,1.1178,2.7843,2.7639,0.8917,1.0141,0.8582,3.0044,3.6028,1.2177,1.1754,1.2097,3.6313,3.4769,3.8553,3.6462,10.1258,2.0216,2.0458,2.0125,2.031,2.0148,6.3268,12.5831,4.2393,4.1232,4.2206,10.5512,2.0646,2.1573,2.116,2.0987,2.1147,1.367,1.5623,1.4554,0.0707,0.0157,0.0184,0.0088,1.3806,1.5592,1.4469,0.0838,0.0057,0.018,0.029,0.0096,2.7415,2.6773,0.9765,0.9378,0.7629,3.3942,4.4719,1.5226,1.5563,1.3929,-423.24,25.5
JEPJIY,86.06,13.85,196.67,3.96,8.09,7.03,37.5,32.7,21.2,660.39,-4.6866,-1.4958,1.96,2,0.03,0,2.53,2.16,3.26,3.16,2.41,1.34,1.23,83.46,82.68,89.17,101.76,103.36,116.19,109.55,126.55,-0.4856,0.1477,-0.1908,0.3894,-0.0162,0.2307,-0.4655,0.0044,2.1131,2.8324,3.7959,1.8537,3.1694,4.0684,2.0592,29.0016,7.2892,5.6805,25.247,8.6284,7.174,5.6877,8.4781,0.5392,0,0.6502,0.3252,0.37,0.57,0.473,0,1.8943,1.123,2.7875,2.8021,0.9474,0.9974,0.8574,3.0061,3.6023,1.1646,1.2913,1.1464,3.5935,3.5083,3.6322,3.707,10.1501,2.0343,2.0346,2.0317,2.0237,2.0258,6.3367,12.6032,4.1944,4.1653,4.2435,10.5455,2.0754,2.1376,2.1474,2.0828,2.1023,1.584,1.5935,1.401,0.0711,0.0183,0.0195,0.0094,1.1252,1.1787,1.2317,0.2586,0.0472,0.066,0.0441,0.0591,2.7388,2.6841,0.9084,0.9482,0.8275,3.4035,4.5218,1.4586,1.6241,1.4391,-364.39,25.6
DPCBAZ,82.73,3.16,211.68,1.99,8.13,9.38,35.8,24.4,15,708.07,-5.6023,-3.3198,2.02,1.91,-0.19,0.05,2.53,1.96,3.09,3.05,2.53,1.37,1.22,87.93,75.16,86.02,100.47,113.01,122.19,109.02,124.64,-0.3525,0.1436,-0.1293,0.321,0.1047,0.1687,-0.4446,0.075,2.6566,3.0325,3.7329,2.0646,3.2049,4.0679,2.1305,29.032,7.1293,5.6884,25.2665,8.456,6.8502,5.7513,8.389,0.5688,0,0.5172,0.5512,0.4021,0.4158,0.7693,0,1.9949,1.0396,2.7825,2.7688,0.9741,1.003,0.7916,2.9999,3.6048,1.1566,1.2709,1.1773,3.6361,3.5948,3.7144,3.5947,10.1242,2.0268,2.0374,2.0222,2.0202,2.0176,6.3424,12.6247,4.1748,4.2121,4.2378,10.385,2.0758,2.1019,2.0608,2.0646,2.0819,1.4418,1.5697,1.4456,0.0753,0.0126,0.0289,0.0092,1.0727,1.237,1.149,0.3281,0.0461,0.0554,0.0897,0.0341,2.7408,2.6723,0.9737,0.9719,0.7268,3.393,4.4591,1.4912,1.633,1.3349,-434.06,25.7
SAWMUA,85.65,-6.47,182.94,1.58,6.94,7.65,30.3,20.7,13.1,595.38,-5.7981,-3.5834,1.88,2.29,0.88,-0.57,2.49,1.91,3.05,2.94,2.61,1.36,1.22,93.62,73.38,85.56,97.54,112.55,126.63,109.87,124.15,-0.3492,0.1291,-0.0872,0.2876,0.1598,0.2089,-0.4586,0.0729,2.4284,3.0757,3.6832,3.1871,2.1311,4.2064,2.1069,28.9751,7.1388,5.7002,25.2782,6.9654,8.3185,5.8166,8.3934,0.585,0,0.481,0.5997,0.3466,0.6944,0.2176,0,1.944,1.1274,2.7855,2.7506,0.8996,1.0142,0.8368,2.9967,3.6201,1.1922,1.1696,1.2582,3.6501,3.5389,3.8406,3.5582,10.1104,2.0223,2.0366,2.0112,2.0271,2.0132,6.3413,12.6086,4.264,4.1053,4.2393,10.3989,2.0869,2.0081,2.0835,2.1347,2.0856,1.1096,1.1083,1.198,0.3288,0.0497,0.1,0.0395,1.3022,1.5858,1.4558,0.0723,0.0018,0.0157,0.0223,0.008,2.7389,2.6767,0.9348,0.9343,0.8076,3.3912,4.463,1.487,1.5419,1.4341,-404.22,25.8
ENUQAG,82.64,1.94,184.36,2.91,9.34,7.73,33.9,27.9,20.3,795.88,-5.4877,-2.4693,2.06,1.96,-0.16,0.08,2.5,1.97,3,3.05,2.52,1.37,1.22,89.3,73.4,87.32,96.77,113.83,123.9,109.09,124.69,-0.4303,0.1434,-0.1344,0.3105,0.188,0.1673,-0.4487,0.0693,2.3066,3.0113,3.6345,2.1554,3.2116,4.1625,2.1126,28.9911,7.1568,5.6564,25.3055,8.344,6.945,5.7943,8.3941,0.5531,0,0.4975,0.5267,0.3951,0.3635,0.5932,0,1.9662,1.0966,2.7812,2.7704,0.95,1.0211,0.7993,3.0001,3.6039,1.154,1.2485,1.2014,3.6227,3.5425,3.7896,3.5859,10.1323,2.0217,2.046,2.0167,2.0285,2.0194,6.329,12.6205,4.2141,4.1977,4.2086,10.4806,2.0879,2.1129,2.1047,2.0864,2.0887,1.3728,1.5569,1.4545,0.0755,0.014,0.0259,0.0094,1.064,0.9776,1.3604,0.3465,0.0721,0.0412,0.0865,0.0335,2.741,2.6739,0.9682,0.9595,0.7462,3.3934,4.4644,1.4856,1.6222,1.3565,-440.63,25.9
DOJQEB,88.31,0.28,213.41,3.04,12.8,10.56,34.4,23.8,16.3,890.8,-5.5067,-3.3847,1.99,2.01,-0.19,0.18,2.5,1.95,2.98,2.97,2.55,1.36,1.22,91.17,72.48,87.31,96.19,112.44,126.11,109.27,124.44,-0.4414,0.1467,-0.1181,0.2846,0.1938,0.2785,-0.453,0.0698,2.3908,3.0084,3.61,2.1436,3.2474,4.183,2.0848,29.0215,7.1293,5.6492,25.3058,8.3957,7.0857,5.8025,8.4114,0.5641,0,0.4883,0.5065,0.3599,0.4609,0.5643,0,1.9142,1.134,2.7816,2.7624,0.8946,1.0191,0.8487,2.9963,3.5997,1.192,1.1768,1.2309,3.6285,3.5079,3.8445,3.5916,10.1269,2.0281,2.0426,2.013,2.0282,2.0149,6.3131,12.6343,4.2476,4.1613,4.2254,10.4937,2.0777,2.056,2.1259,2.1283,2.1058,1.3498,1.6002,1.4239,0.0777,0.0161,0.0252,0.009,1.0563,1.1231,1.3222,0.2474,0.0509,0.0265,0.0794,0.0243,2.7389,2.6744,0.9542,0.9426,0.7776,3.3907,4.4664,1.5029,1.5612,1.4023,-437.97,26
IPIKAV,82.51,1.62,180.28,4.1,9.56,11.64,28.8,21.8,16.2,823.3,-5.2739,-2.8978,2.16,1.9,-0.36,0.29,2.5,1.94,3,2.94,2.56,1.36,1.22,92.35,72.68,87.58,96.39,111.94,127.47,109.23,124.32,-0.4389,0.1402,-0.1154,0.2436,0.2012,0.1855,-0.457,0.0672,2.0546,3.0142,3.6643,2.1074,2.158,4.2023,2.1,28.935,7.1674,5.6917,25.349,8.361,8.3905,5.8137,8.3968,0.5362,0,0.4934,0.5406,0.3674,0.2432,0.5151,0,1.9426,1.127,2.7833,2.7639,0.9089,0.9796,0.8754,2.9981,3.6051,1.1718,1.1773,1.2561,3.64,3.5186,3.8575,3.598,10.1262,2.0241,2.044,2.0105,2.0303,2.0173,6.3295,12.5849,4.2428,4.1231,4.219,10.5241,2.0921,2.1052,2.1095,2.1211,2.0962,1.3955,1.5298,1.4347,0.0737,0.0167,0.0205,0.0088,1.4135,1.4943,1.4892,0.0839,0.0106,0.0145,0.0271,0.0092,2.7404,2.6772,0.9492,0.9213,0.8067,3.3927,4.4674,1.4823,1.5482,1.4369,-426.79,26
PABSOC,78.15,6.38,179.03,2.67,7.47,10.31,33.5,29.2,21.1,748.48,-5.2602,-2.1431,2.01,2.08,-0.28,0.24,2.52,2.13,3.24,2.23,2.54,1.34,1.24,88.02,79.82,89.7,102.28,87.09,143.26,107.72,122.2,-0.4716,0.1662,-0.1306,0.3034,0.2218,0.2147,-0.4411,0.0997,1.9155,2.8172,3.7427,2.1122,2.083,4.1066,1.9814,28.8807,7.1916,5.6732,25.3402,8.3189,8.3222,5.7982,8.4281,0.5281,0,0.5057,0.2838,0.3941,0.3888,0.2937,0.2008,1.6898,1.1646,2.7846,2.7673,1.0823,0.9169,0.7681,3.0071,3.5804,1.2811,1.1634,1.136,3.6169,3.7694,3.5548,3.6209,10.1194,2.0209,2.019,2.0459,2.0133,2.0203,6.3332,12.519,4.1197,4.1976,4.2017,10.619,2.075,2.0945,2.2346,2.1219,2.093,1.3839,1.6083,1.3668,0.0825,0.0273,0.0142,0.0157,1.3986,1.5829,1.3798,0.0779,0.0075,0.0236,0.0171,0.0129,2.7333,2.6608,0.9438,0.9067,0.8103,3.374,4.4522,1.5939,1.4553,1.4031,-440.15,26.2
VIQWUO,84.47,0.81,204.02,3.91,8.24,8.73,35.6,30.3,21.5,705.09,-5.4433,-2.7565,2.02,2.03,-0.19,0.16,2.52,1.97,3.01,2.9,2.52,1.36,1.22,90.05,73.43,88.79,97.54,109.17,127.84,108.85,124.37,-0.4367,0.1498,-0.1363,0.2807,0.2269,0.2919,-0.447,0.0869,2.2324,2.9891,3.6231,2.1701,3.093,4.173,2.0938,28.9943,7.1478,5.6462,25.3177,8.3589,7.0798,5.8028,8.3921,0.5444,0,0.4968,0.4881,0.3788,0.4198,0.5234,0,1.9326,1.1129,2.781,2.7703,0.9044,1.0679,0.798,2.9974,3.5966,1.1733,1.2161,1.2072,3.6279,3.5017,3.8548,3.5892,10.1295,2.0203,2.0504,2.0112,2.03,2.0176,6.3179,12.61,4.2347,4.1512,4.2241,10.5086,2.0818,2.0839,2.108,2.1157,2.1191,1.3077,1.5974,1.4448,0.0797,0.0151,0.0273,0.0088,1.037,1.1323,1.3287,0.25,0.0498,0.0232,0.0752,0.0212,2.7388,2.6714,0.9516,0.9569,0.763,3.3898,4.4503,1.4847,1.605,1.3605,-447.1,26.3
