Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
HARMIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HARMUL,Minimum,Minimum,Correct TS,Correct TS
HARPOI,Minimum,Not Minimum,Incorrect TS,Correct TS
HARRUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HARZUY,Minimum,Minimum,Correct TS,Correct TS
HASBUY,Minimum,Minimum,Correct TS,Correct TS
HASCEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HASDAG,Minimum,Minimum,Incorrect TS,Correct TS
HASDOU,Minimum,Minimum,Incorrect TS,Correct TS
HASWAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HATDAK,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HATDEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HATPIC,Minimum,Minimum,Correct TS,Correct TS
HATWUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVBIR,Minimum,Minimum,Incorrect TS,Correct TS
HAVCAL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVJIX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVLOF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVPOM,Minimum,Not Minimum,Correct TS,Correct TS
HAVVOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAVXIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAWYAG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXHOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXLID,Minimum,Minimum,Correct TS,Correct TS
HAXLOJ,Minimum,Minimum,Correct TS,Correct TS
HAXLUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXPAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXQAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXRII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXTAD01,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAXXIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAXXUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAYCAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAYWEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HAYWIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HAYZAJ,Minimum,Not Minimum,Correct TS,Correct TS
HAZFEW,Minimum,Minimum,Correct TS,Correct TS
HAZFNO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HAZGOE,Not Minimum,Minimum,Incorrect TS,Correct TS
HAZSOT,Minimum,Not Minimum,Correct TS,Correct TS
HBAZOO10,Minimum,Minimum,Incorrect TS,Correct TS
HBPIIQ10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HBUGOL,Not Minimum,Minimum,Incorrect TS,Correct TS
HBZTHP,Minimum,Minimum,Incorrect TS,Correct TS
HCITEN10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HCITUL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HDECOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HDOPAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HDOPAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEBARB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEBGEA,Minimum,Minimum,Correct TS,Correct TS
HEBKEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HECCAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HECDEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HECHAY01,Minimum,Minimum,Correct TS,Correct TS
HECKOS,Minimum,Minimum,Correct TS,Correct TS
HECMAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HECNAE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
HECPAJ02,Minimum,Minimum,Correct TS,Correct TS
HEFTOE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEFXIB,Minimum,Minimum,Correct TS,Correct TS
HEGBAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGBEC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGFOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEGHEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGJAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEGJUA,Not Minimum,Not Minimum,Incorrect TS,Correct TS
HEGKUB,Minimum,Minimum,Incorrect TS,Correct TS
HEGNIS,Minimum,Minimum,Incorrect TS,Correct TS
HEGXUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEHNOA01,Minimum,Minimum,Correct TS,Correct TS
HEJBIH,Minimum,Minimum,Correct TS,Correct TS
HEJFOT,Not Minimum,Minimum,Correct TS,Correct TS
HEJJAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEJSUN,Minimum,Minimum,Incorrect TS,Correct TS
HEJZON,Minimum,Minimum,Correct TS,Correct TS
HEKMEP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEKMOC,Minimum,Minimum,Correct TS,Correct TS
HEKSIC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEKTUM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HEKVOI,Minimum,Minimum,Correct TS,Correct TS
HEKVUO,Minimum,Minimum,Correct TS,Correct TS
HEKWAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEKWOL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HELHUD,Minimum,Minimum,Incorrect TS,Correct TS
HELLOC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HELZAC,Minimum,Minimum,Correct TS,Correct TS
HEMWAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEMXEC,Minimum,Minimum,Incorrect TS,Correct TS
HEMYIH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HENHAM,Minimum,Minimum,Correct TS,Correct TS
HEPFUD,Minimum,Minimum,Correct TS,Correct TS
HEPHIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEPNAR01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEPPUO,Minimum,Minimum,Correct TS,Correct TS
HEPRAY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEQQAX,Minimum,Not Minimum,Correct TS,Correct TS
HEQWUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEQXIN,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEQZEK,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HERHIW,Minimum,Not Minimum,Correct TS,Correct TS
HERJIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HERLOG,Minimum,Minimum,Correct TS,Correct TS
HERMOH02,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HERPIG,Not Minimum,Minimum,Incorrect TS,Correct TS
HESCOY,Minimum,Minimum,Correct TS,Correct TS
HESPIE,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HESRUS10,Minimum,Minimum,Correct TS,Correct TS
HESTOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HESWIM,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HETJEV,Minimum,Not Minimum,Incorrect TS,Correct TS
HETTUY,Minimum,Minimum,Correct TS,Correct TS
HEVDIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEVLOJ,Not Minimum,Minimum,Incorrect TS,Correct TS
HEVTUX,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEVZAL,Minimum,Not Minimum,Correct TS,Correct TS
HEWCEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEWLOL01,Minimum,Minimum,Correct TS,Correct TS
HEWLUS,Not Minimum,Minimum,Correct TS,Correct TS
HEWMAZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HEWMED,Minimum,Minimum,Incorrect TS,Correct TS
HEWNIH,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HEWPUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HEWRAD02,Minimum,Minimum,Correct TS,Correct TS
HEWVAH,Minimum,Minimum,Correct TS,Correct TS
HEXKAZ,Minimum,Minimum,Correct TS,Correct TS
HEXMAL,Not Minimum,Not Minimum,Correct TS,Correct TS
HEXSOS,Minimum,Not Minimum,Correct TS,Correct TS
HEXVEL,Minimum,Minimum,Incorrect TS,Correct TS
HEXVIQ,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HEYJIE,Minimum,Minimum,Correct TS,Correct TS
HEZNAE,Minimum,Minimum,Correct TS,Correct TS
HEZSAJ,Minimum,Minimum,Correct TS,Correct TS
HEZVIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HEZWIT,Minimum,Minimum,Correct TS,Correct TS
HEZXOA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HEZYUJ,Minimum,Minimum,Correct TS,Correct TS
HGITOX10,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBBIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HIBISC10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBJEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBJIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBKAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIBYEW,Minimum,Minimum,Correct TS,Correct TS
HIBZOH,Minimum,Minimum,Correct TS,Correct TS
HICCIF,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HICGIJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HICHIN,Minimum,Minimum,Incorrect TS,Correct TS
HICSET,Minimum,Minimum,Correct TS,Correct TS
HICVUL01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HICYAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIDLUE,Not Minimum,Minimum,Incorrect TS,Correct TS
HIDNAJ,Minimum,Minimum,Correct TS,Correct TS
HIDQOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIDSOC,Not Minimum,Minimum,Correct TS,Correct TS
HIDWAT,Minimum,Minimum,Correct TS,Correct TS
HIDWUN,Minimum,Minimum,Correct TS,Correct TS
HIDYEZ,Minimum,Minimum,Correct TS,Correct TS
HIFBII,Minimum,Not Minimum,Correct TS,Correct TS
HIFCEG,Minimum,Minimum,Incorrect TS,Correct TS
HIFFAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIFPOB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIFQET,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIFVUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIFWAX,Minimum,Minimum,Correct TS,Correct TS
HIFWOI,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HIFZUR,Not Minimum,Minimum,Correct TS,Correct TS
HIGCAB,Minimum,Minimum,Correct TS,Correct TS
HIGCIK01,Minimum,Not Minimum,Correct TS,Correct TS
HIGFIO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HIGHEK,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIGPAR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HIGSIB,Minimum,Minimum,Incorrect TS,Correct TS
HIHCAF,Minimum,Minimum,Correct TS,Correct TS
HIHCEH,Minimum,Minimum,Correct TS,Correct TS
HIHCEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHHIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHHIS,Minimum,Minimum,Correct TS,Correct TS
HIHKUE01,Minimum,Minimum,Incorrect TS,Correct TS
HIHLAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHNIV,Minimum,Minimum,Correct TS,Correct TS
HIHPIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHVEZ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIHYEC,Not Minimum,Not Minimum,Correct TS,Calc Fail
HIHZUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIJBAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIJBEK,Minimum,Minimum,Correct TS,Correct TS
HIJCUY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIJFIP01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIJVOO,Minimum,Minimum,Correct TS,Correct TS
HIJVUU,Not Minimum,Minimum,Incorrect TS,Correct TS
HIJYAB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIJZAC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIKWEG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HILBUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HILLOE,Minimum,Minimum,Correct TS,Correct TS
HILMEV,Minimum,Minimum,Incorrect TS,Correct TS
HILSEB,Minimum,Not Minimum,Correct TS,Correct TS
HILVAA,Minimum,Minimum,Correct TS,Correct TS
HILWAB,Minimum,Not Minimum,Incorrect TS,Correct TS
HILZAF,Not Minimum,Minimum,Correct TS,Correct TS
HIMBIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIMMAL,Minimum,Minimum,Correct TS,Correct TS
HIMMOG,Minimum,Minimum,Incorrect TS,Correct TS
HIMMUM,Minimum,Not Minimum,Incorrect TS,Correct TS
HIMPEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIMZEK,Minimum,Minimum,Incorrect TS,Correct TS
HINBAJ,Minimum,Minimum,Correct TS,Correct TS
HINJOG,Minimum,Minimum,Correct TS,Correct TS
HINQOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HINQUQ,Minimum,Not Minimum,Incorrect TS,Correct TS
HIPADS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIPFUH01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIPGAO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIPGES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIPNEB,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HIPPUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIPWIN,Minimum,Minimum,Correct TS,Correct TS
HIQJAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQJEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQKAT,Not Minimum,Minimum,Correct TS,Correct TS
HIQKEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQMAV,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HIQMEZ,Not Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HIQNAW,Minimum,Minimum,Correct TS,Correct TS
HIQNIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQROO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIQTEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIRBAM,Minimum,Minimum,Correct TS,Correct TS
HIRDES,Minimum,Minimum,Incorrect TS,Correct TS
HIRHIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRKEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRPOO,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRPUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRREH01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRRIK,Minimum,Minimum,Correct TS,Correct TS
HIRTEI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIRZUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HISBOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HISCAO,Minimum,Minimum,Incorrect TS,Correct TS
HISCIW,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISCUI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISGIA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HISGOG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HISMAA,Minimum,Minimum,Correct TS,Correct TS
HISMUS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISNOP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISRAE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISRIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HISSEK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HISWOY,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
HISXOZ01,Minimum,Minimum,Correct TS,Correct TS
HISZER,Minimum,Minimum,Correct TS,Correct TS
HITKON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HITLII,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HITPEI,Minimum,Minimum,Correct TS,Correct TS
HITQUW,Minimum,Minimum,Correct TS,Correct TS
HITSOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HITSUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HITTAI,Minimum,Not Minimum,Incorrect TS,Correct TS
HITWAJ,Minimum,Minimum,Correct TS,Correct TS
HITYUF,Minimum,Minimum,Correct TS,Correct TS
HITZEQ,Minimum,Minimum,Correct TS,Correct TS
HIVBET,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVGAW01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVLAA01,Minimum,Minimum,Incorrect TS,Correct TS
HIVSUB,Minimum,Not Minimum,Correct TS,Correct TS
HIVTEM,Minimum,Minimum,Correct TS,Correct TS
HIVVEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIVZUI,Minimum,Not Minimum,Incorrect TS,Correct TS
HIWQOV,Minimum,Minimum,Calc Fail,Calc Fail
HIWREM,Minimum,Minimum,Correct TS,Correct TS
HIXPAH,Minimum,Minimum,Correct TS,Correct TS
HIXSAI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIXVIV,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIXWUJ,Minimum,Minimum,Incorrect TS,Correct TS
HIXZIA,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIYDOI,Minimum,Not Minimum,Incorrect TS,Correct TS
HIYFIE,Minimum,Minimum,Incorrect TS,Correct TS
HIYFUQ,Minimum,Minimum,Correct TS,Correct TS
HIYHUS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIYJEH,Minimum,Not Minimum,Correct TS,Correct TS
HIYKEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIYYUM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HIZDOK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HIZDUR,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
HIZHII,Minimum,Minimum,Incorrect TS,Correct TS
HIZMAH,Minimum,Not Minimum,Correct TS,Correct TS
HIZROA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HIZSIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMALAC01,Minimum,Minimum,Incorrect TS,Correct TS
HMAUNA20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HMITZC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HNBOCL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOBHIR,Minimum,Minimum,Incorrect TS,Incorrect TS
HOBLAN,Not Minimum,Minimum,Incorrect TS,Correct TS
HOBLOB,Not Minimum,Minimum,Incorrect TS,Correct TS
HOBZED,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
HOCFEN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOCKAN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOCLAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOCMIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOCVEA,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOCVUT,Not Minimum,Minimum,Correct TS,Correct TS
HODHOY,Minimum,Not Minimum,Incorrect TS,Correct TS
HODJEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODLOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODMAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODNEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODSOI,Not Minimum,Minimum,Correct TS,Correct TS
HODTEA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HODTUQ,Minimum,Minimum,Correct TS,Correct TS
HODXAA,Minimum,Minimum,Correct TS,Correct TS
HODYOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFJUH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
HOFLAP,Not Minimum,Minimum,Incorrect TS,Correct TS
HOFLAQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFLUK01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFNEW01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFRIE,Minimum,Minimum,Correct TS,Correct TS
HOFVAA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFWAB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOFWEF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOFZOR,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOGPAX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOGPOL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOGXUX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOGYEH,Not Minimum,Minimum,Correct TS,Correct TS
HOGZIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOHFAM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOHHUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOHJAQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOHRIF,Minimum,Minimum,Correct TS,Correct TS
HOINSX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOJCUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOJKEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOJTUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOJYIR,Minimum,Minimum,Incorrect TS,Correct TS
HOJZEN,Minimum,Minimum,Incorrect TS,Correct TS
HOJZUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKNON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKNUT,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKPIJ,Minimum,Minimum,Correct TS,Correct TS
HOKQUV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HOKREG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKSEG,Minimum,Not Minimum,Incorrect TS,Correct TS
HOKSEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKTIL,Minimum,Minimum,Correct TS,Correct TS
HOKVIO,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKVOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOKZUC,Minimum,Not Minimum,Correct TS,Correct TS
HOLBEQ01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
HOLGEV,Minimum,Minimum,Correct TS,Correct TS
HOLLAY,Minimum,Minimum,Correct TS,Correct TS
HOLQOO,Minimum,Not Minimum,Correct TS,Correct TS
HOLVUA,Minimum,Minimum,Correct TS,Correct TS
HOMDUI,Minimum,Not Minimum,Correct TS,Correct TS
HOMROQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOMSOT,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
HOMTEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HOMYEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
HONDAS,Minimum,Minimum,Correct TS,Correct TS
HONJAX,Minimum,Minimum,Correct TS,Correct TS
HONLON,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
HONNUT,Minimum,Minimum,Correct TS,Correct TS
