Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
YIFRUB,69.57,-6.08,192.53,3.12,-4.583,-2.9412,0.2932,-0.1527,1.285,2.9726,5.6688,7.1343,0.1417,1.0232,10.1242,6.3369,12.6377,9.7322,1.2915,1.5074,1.2816,0.0618,1.3067,0.0096,22
SUHVUM01,76.6,4.69,166.92,1.88,-4.4442,-2.733,0.3529,-0.1532,1.3272,2.0704,5.7898,6.9397,0.1418,1.025,10.1314,6.2924,12.6026,9.752,1.4878,1.5028,1.6143,0.4061,1.3971,0.0136,26
NADGIL,73.94,6.7,195.28,1.79,-4.4115,-2.6279,0.2699,-0.1838,1.3241,3.3154,5.8215,7.0619,0.1418,1.0031,10.1517,6.3493,12.6317,9.749,1.2004,1.3957,1.2604,0.0953,1.2952,0.0103,21.5
FOWVIX,74.19,9.11,165.89,1.63,-4.2689,-2.6725,0.3434,-0.1519,1.3725,2.033,5.8734,6.9998,0.1424,1.0123,10.1468,6.2922,12.5926,9.7717,1.4871,1.4377,1.7235,0.4047,1.2298,0.0149,25.3
NOLZEW,70.59,7.67,175.14,2.47,-4.4263,-2.9244,0.3352,-0.1284,1.3174,2.8963,5.7814,8.3881,0.1429,1.0106,10.1251,6.3122,12.6148,9.7377,1.3208,1.3787,1.2367,0.081,1.4673,0.0522,-0.7
UDIDIW,75.02,6.6,176.48,1.87,-4.5419,-2.8407,0.2656,-0.1552,1.3344,3.2336,5.8271,7.0089,0.1429,1.0243,10.1378,6.3222,12.6526,9.7596,1.2104,1.4078,1.229,0.0908,1.3352,0.0164,23.7
MENDUF,78.24,5.97,163.37,2.27,-4.5293,-2.8454,0.3282,-0.1395,1.3256,2.9768,5.7744,8.4699,0.1431,1.0021,10.1288,6.3178,12.6131,9.741,1.3319,1.4652,1.2814,0.0607,1.4732,0.053,-2.7
GOVKEH,75.47,6.12,178.24,1.95,-4.3134,-2.9896,0.3503,-0.1555,1.3245,2.0263,5.8008,7.1173,0.1453,1.0099,10.1366,6.2968,12.5983,9.7546,1.5145,1.5208,1.6295,0.3948,1.2375,0.0127,30.8
ESERUP,80.76,9.88,168.16,1.76,-4.397,-2.7216,0.4014,-0.1446,1.3302,2.1446,5.8656,8.4096,0.1456,1.0013,10.1284,6.286,12.5727,9.74,1.4854,1.4595,1.6386,0.3673,1.4752,0.0546,8.1
BUFCEM,77.51,1.65,163.07,1.7,-4.5722,-2.8951,0.35,-0.1418,1.3277,2.0662,5.8004,7.1345,0.1462,1.0006,10.1229,6.3044,12.6006,9.745,1.5251,1.5268,1.6002,0.3809,1.2713,0.0125,31.5
LCITHC,56.97,-11.75,142.93,2.45,-4.0883,-2.4093,0.3944,-0.1688,1.3168,1.8512,5.828,8.4632,0.1463,1.0302,10.1501,6.2852,12.571,9.7495,1.5706,1.6684,1.4863,0.4265,1.551,0.0395,30.1
WUTDUL,77.74,2.99,180.07,2.8,-4.2812,-2.5945,0.3438,-0.1573,1.331,2.0452,5.8471,6.8554,0.1464,1.008,10.1372,6.2952,12.598,9.763,1.4709,1.4768,1.6475,0.3975,1.4305,0.0133,28
SORPAR,76.22,4.19,172.65,2.22,-4.4639,-2.7967,0.3495,-0.1453,1.326,2.0976,5.8257,6.9398,0.1465,1.0119,10.128,6.296,12.6013,9.7531,1.4678,1.4714,1.6608,0.3993,1.4027,0.0132,7.9
PAQXEL,74.7,8.46,175.36,1.1,-4.4298,-2.9693,0.3953,-0.1294,1.4121,1.8422,5.759,8.4366,0.1466,1.0059,10.1434,6.2857,12.5886,9.7303,1.4703,1.356,1.6634,0.4168,1.4783,0.0603,23.8
KEWDAR,70.74,10.34,227.61,3.99,-2.6025,-1.4279,0.2968,-0.2222,1.3493,1.9397,5.9042,7.2099,0.1471,1.0849,10.1964,6.3288,12.5585,9.8159,1.5272,1.4764,1.6365,0.489,1.3067,0.0128,114.3
GOBMIV,73.33,5.28,171.42,1.55,-4.3992,-2.6665,0.3539,-0.1598,1.3236,2.102,5.8429,7.0093,0.1473,1.0366,10.1357,6.2937,12.6044,9.7481,1.5058,1.4476,1.7151,0.4367,1.4336,0.0123,23.3
PAHCIL,57.22,-11.79,141.74,2.51,-4.1757,-2.5141,0.3978,-0.1579,1.3044,1.8711,5.8394,8.4725,0.1476,1.0084,10.1431,6.2875,12.5708,9.7439,1.5862,1.6552,1.4858,0.4193,1.5524,0.0414,26.1
POYLAT,71.31,9.61,191.35,2.11,-4.423,-2.8175,0.3588,-0.1521,1.3055,2.0386,5.7595,7.0595,0.1477,1.0076,10.1312,6.2932,12.6005,9.7476,1.5119,1.5055,1.6663,0.4356,1.2238,0.012,31.2
XAGGAO,75.2,15.89,192.81,3.58,-4.5218,-3.0133,0.3755,-0.1453,1.3239,1.9907,5.7917,7.0508,0.1481,1.0033,10.131,6.3004,12.5857,9.7384,1.5026,1.4231,1.6786,0.4286,1.2677,0.0177,19.8
MAMDUD,74.24,6.72,185.74,2.01,-4.5891,-2.8884,0.2688,-0.1464,1.3184,3.1823,5.8168,7.0759,0.1481,1.014,10.133,6.3228,12.6525,9.7559,1.3052,1.3988,1.1792,0.0921,1.2133,0.0139,28
SIVHIP,73.49,17.52,178.79,4.47,-4.2896,-2.8765,0.4226,-0.1272,1.3019,1.8454,5.6552,8.4034,0.1487,1.0496,10.1288,6.2917,12.5658,9.7199,1.5283,1.4233,1.6781,0.4479,1.4743,0.0666,10.6
FABFIX,84.62,-14.91,171.73,1.73,-4.1327,-2.252,0.3595,-0.1841,1.3506,2.0813,5.8864,7.054,0.149,1.0288,10.1497,6.2899,12.5714,9.7792,1.5565,1.5438,1.5922,0.3787,1.3929,0.0093,34.8
